Database,TF,TargetGene,Tissue,Experiment
SPP,STAT3,TECR,leukocytes,"STAT3 IP - U-2932, STAT3 IP - SU-DHL-6, STAT3 IP - OCI-LY7, STAT3 IP - SU-DHL-4, STAT3 IP - SU-DHL-2"
SPP,BHLHE40,TECR,leukocytes,"BHLHE40 IP - K562 cells, BHLHE40 IP - GM12878 cells"
SPP,TP63,TECR,skin,"TP63 IP, TP63 IP, TP63 IP - Adriam, Rep 1, TP63 IP | BANF1 KD, TP63 IP"
SPP,KLF5,TECR,stomach,KLF5 IP - KATOIII
SPP,MAX,TECR,liver,"MAX IP - HepG2 cells, MAX IP - MCF7 cells, MAX IP - HepG2 cells"
SPP,FOS,TECR,mammarygland,"FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 36 h"
SPP,MEF2B,TECR,kidney,"MEF2B IP | MEF2B D83V OE - Rep 1, MEF2B IP | MEF2B OE - Rep 1, MEF2B IP | MEF2B OE - Rep 2"
SPP,MAX,TECR,stemcells,MAX IP - H1 cells
SPP,MXI1,TECR,leukocytes,"MXI1 IP - GM12878 cells, MXI1 IP - K562 cells"
SPP,SP1,TECR,stemcells,"SP1 IP - Rep 1 , SP1 IP - Rep 2 , SP1 IP - H1 cells"
SPP,SP2,TECR,liver,SP2 IP - HepG2 cells
SPP,RELA,TECR,leukocytes,"RELA IP | TNF - GM12892 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells"
SPP,TNF,TECR,leukocytes,"RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells"
SPP,TEAD4,TECR,liver,TEAD4 IP - HepG2 cells
SPP,YY1,TECR,leukocytes,"YY1 IP - K562 cells, Rep 1, YY1 IP - K562 cells, Rep 2, YY1 IP - GM12878 cells, YY1 IP - GM12892 cells, Rep 1"
SPP,TP63,TECR,esophagus,TP63 IP - KYSE-70
SPP,HOXA6,TECR,colon,HOXA6 IP 
SPP,BICALU,TECR,prostate,"BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
SPP,FOS,TECR,leukocytes,"FOS IP - GM12878 cells, FOS IP - K562 cells"
SPP,USF1,TECR,stemcells,USF1 IP - H1 cells
SPP,JUN,TECR,vasculature,"JUN IP, JUN IP - HUVEC cells"
SPP,MYB,TECR,leukocytes,"MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 1, MYB IP - MOLT3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 5"
SPP,JUND,TECR,liver,"JUND IP - HepG2 cells, JUND IP - HepG2 cells"
SPP,NANOG,TECR,stemcells,"NANOG IP - Rep 2 , NANOG IP - Rep 2, NANOG IP - H1 cells, NANOG IP - Rep 8 , NANOG IP - Rep 6 , NANOG IP - Rep 5 , NANOG IP - Rep 3 "
SPP,RELA,TECR,adiposetissue,"RELA IP, RELA IP, RELA IP"
SPP,BCL3,TECR,lung,BCL3 IP - A549 cells
SPP,STAT5A,TECR,leukocytes,"STAT5A IP - GM12878 cells, STAT5A IP - K562 cells"
SPP,CEBPB,TECR,mammarygland,CEBPB IP - MCF7 cells
SPP,TCF21,TECR,vasculature,TCF21 IP
SPP,ERG,TECR,leukocytes,ERG IP - Rep 1
SPP,FOSL2,TECR,lung,FOSL2 IP - A549 cells
SPP,GATA1,TECR,leukocytes,GATA1 ChIP-Seq - SC266
SPP,CEBPB,TECR,liver,"CEBPB IP - HepG2 cells, CEBPB ChIP-Seq - HepG2, CEBPB IP | FORSK - HepG2 cells"
SPP,USF1,TECR,cns,"USF1 IP | ATRA - SK-N-SH cells, USF1 IP - SK-N-SH cells"
SPP,ATRA,TECR,cns,"USF1 IP | ATRA - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
SPP,FOSL2,TECR,liver,FOSL2 IP - HepG2 cells
SPP,4HT,TECR,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 36 h, E2F4 IP | 4HT - MCF10 cells, FOS IP | 4HT - MCF10A cells, 4 h, STAT3 IP | 4HT - MCF10 cells, 12 h, MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h"
SPP,CEBPB,TECR,stemcells,"CEBPB IP - H1 cells, CEBPB IP, CEBPB IP, CEBPB IP"
SPP,YY1,TECR,uterus,YY1 IP - ECC1 cells
SPP,JUNB,TECR,colon,JUNB IP 
SPP,NFYC,TECR,colon,NFYC IP 
SPP,IRF1,TECR,leukocytes,"IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNA1-13 - K562 cells, 6 h"
SPP,IFNG,TECR,leukocytes,"IRF1 IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min, JUN IP | IFNG - K562 cells, 30 min, MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 5, STAT1 IP - Rep 2, STAT1 IP - Rep 1, STAT1 IP - Rep 3"
SPP,POU2F2,TECR,leukocytes,POU2F2 IP - GM12878 cells
SPP,TCF7L2,TECR,uterus,TCF7L2 IP - HeLa cells
SPP,MYC,TECR,leukocytes,"MYC IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min, MYC IP - K562 cells, Rep 1, MYC IP - NB4 cells"
SPP,TP53,TECR,lung,"TP53 IP - propapoptic, Rep 1"
SPP,ATF2,TECR,colon,ATF2 IP 
SPP,GATA1,TECR,hspcs,"GATA1 IP - PBDE cells, Rep 1"
SPP,FOXP1,TECR,colon,FOXP1 IP 
SPP,FOXM1,TECR,mammarygland,"FOXM1 IP | THSP - DS006, FOXM1 IP - DS007, FOXM1 IP | THSP - DS008"
SPP,FOXA2,TECR,embryonictissue,FOXA2 IP - Rep 2
SPP,GATA2,TECR,leukocytes,"GATA2 IP - K562 cells, GATA2 IP - K562 cells"
SPP,JUND,TECR,cns,"JUND IP - SK-N-SH cells , JUND IP - SK-N-SH cells"
SPP,REST,TECR,mammarygland,REST IP - MCF7 cells
SPP,CREB1,TECR,leukocytes,"CREB1 IP - K562 cells, CREB1 IP - GM12878 cells"
SPP,HEY1,TECR,leukocytes,HEY1 IP - K562 cells
SPP,ARID3A,TECR,liver,ARID3A IP - HepG2 cells
SPP,REST,TECR,uterus,REST IP - SK-N-SH cells
SPP,REST,TECR,cns,"REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - PFSK1 cells, Rep 2, REST IP - U87 cells, REST IP - SK cells, REST IP - SK-N-SH cells"
SPP,TEAD4,TECR,colon,TEAD4 IP - HCT116 cells
SPP,MAFK,TECR,colon,MAFK IP 
SPP,ETS1,TECR,leukocytes,"ETS1 IP - K562 cells, ETS1 IP"
SPP,ELF3,TECR,pancreas,"ELF3 IP, ELF3 IP, ELF3 IP | KLF5 KO"
SPP,STAT3,TECR,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP - MCF10A cells, Rep 2"
SPP,JUND,TECR,uterus,JUND IP - HeLa cells
SPP,MAFK,TECR,leukocytes,MAFK IP - K562 cells
SPP,GTF2B,TECR,uterus,GTF2B IP - Rep 2
SPP,EGR1,TECR,uterus,EGR1 IP - ECC1 cells
SPP,PBX3,TECR,cns,PBX3 IP - SK-N-SH cells
SPP,CDX2,TECR,colon,CDX2 IP | 125DVD3
SPP,MAX,TECR,leukocytes,"MAX IP - NB4 cells, MAX IP - K562 cells, Rep 2, MAX IP - GM12878 cells, MAX IP - K562 cells"
SPP,MAFK,TECR,uterus,MAFK IP - HeLa cells
SPP,JUND,TECR,leukocytes,JUND IP - K562 cells
SPP,ZNF143,TECR,leukocytes,ZNF143 IP - GM12878 cells
SPP,RBPJ,TECR,leukocytes,RBPJ IP | COMPE - wash
SPP,COMPE,TECR,leukocytes,RBPJ IP | COMPE - wash
SPP,FOXA1,TECR,mammarygland,"DHT | FOXA1 ChIP-Seq, FOXA1 IP - T47D cells"
SPP,DHT,TECR,mammarygland,"DHT | FOXA1 ChIP-Seq, DHT | MYC ChIP-Seq"
SPP,CREB1,TECR,stemcells,CREB1 IP - H1 cells
SPP,USF1,TECR,lung,"USF1 IP - A549 cells, Rep 2"
SPP,ELF1,TECR,leukocytes,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
SPP,E2F4,TECR,mammarygland,E2F4 IP | 4HT - MCF10 cells
SPP,FOSL1,TECR,colon,FOSL1 IP - HCT116 cells
SPP,KLF11,TECR,adiposetissue,"KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
SPP,CEBPB,TECR,lung,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90, CEBPB IP - A549 cells"
SPP,UBTF,TECR,leukocytes,UBTF IP - K562 cells
SPP,E2F1,TECR,uterus,"E2F1 IP - HeLa cells, Rep 2, E2F1 IP - HeLa cells, Rep 1"
SPP,TCF7L2,TECR,pancreas,TCF7L2 IP
SPP,DEX,TECR,lung,"FOXA1 IP | DEX - A549 cells, CREB1 IP | DEX - A549 cells"
SPP,JUN,TECR,leukocytes,"JUN IP | IFNG - K562 cells, 30 min, JUN IP - K562 cells, Rep 1, JUN IP - K562 cells, Rep 2"
SPP,NFYB,TECR,uterus,NFYB IP - HeLa cells
SPP,JUND,TECR,colon,JUND IP - HCT116 cells
SPP,HEY1,TECR,liver,HEY1 IP - HepG2 cells
SPP,SOX10,TECR,skin,SOX10 IP
SPP,NFYB,TECR,leukocytes,"NFYB IP - GM12878 cells, NFYB IP - K562 cells"
SPP,PBX3,TECR,lung,PBX3 IP - A549 cells
SPP,GATA2,TECR,prostate,"FOXA1 KD |Â GATA2 ChIP-Seq, GATA2 ChIP-Seq - Rep 2, GATA2 ChIP-Seq, CON KD + R1881 |Â GATA2 ChIP-Seq"
SPP,MAX,TECR,lung,MAX IP - A549 cells
SPP,REST,TECR,liver,"REST IP - HepG2 cells, Rep 1"
SPP,GATA3,TECR,cns,"GATA3 IP - SK-N-SH cells, GATA3 IP - SHSY5Y cells"
SPP,CREB1,TECR,liver,"CREB1 IP, CREB1 IP, CREB1 IP - HepG2 cells"
SPP,YY1,TECR,cns,"YY1 IP - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
SPP,USF1,TECR,leukocytes,"USF1 IP - GM12878 cells, USF1 IP - K562 cells"
SPP,MAX,TECR,uterus,"MAX IP - HeLa cells, Rep 1, MAX IP - ECC1 cells"
SPP,NFYA,TECR,colon,NFYA IP 
SPP,E2F6,TECR,leukocytes,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
SPP,FOS,TECR,vasculature,FOS IP - HUVEC cells
SPP,MXI1,TECR,cns,MXI1 IP - SK-N-SH cells 
SPP,TAL1,TECR,colon,TAL1 IP 
SPP,TCF12,TECR,leukocytes,TCF12 IP - GM12878 cells
SPP,TCF12,TECR,lung,TCF12 IP - A549 cells
SPP,KLF5,TECR,pancreas,"FOXA1 IP | KLF5 KO, KLF5 IP, ELF3 IP | KLF5 KO"
SPP,NFYA,TECR,leukocytes,NFYA IP - K562 cells
SPP,SP1,TECR,leukocytes,"SP1 IP - K562 cells, SP1 IP - GM12878 cells"
SPP,GATA4,TECR,stomach,GATA4 IP - AGS
SPP,ZKSCAN1,TECR,uterus,ZKSCAN1 IP - HeLa cells
SPP,TP53,TECR,colon,TP53 IP | CAMPTO
SPP,CAMPTO,TECR,colon,TP53 IP | CAMPTO
SPP,SRF,TECR,colon,SRF IP - HCT116 cells
SPP,BAY082,TECR,leukocytes,"RELA IP | BAY082  - IVD Th1 cells, PIA"
SPP,FOXA1,TECR,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
SPP,TP63,TECR,lung,TP63 IP - HCC95
SPP,JUND,TECR,vasculature,JUND IP
SPP,MAFF,TECR,liver,MAFF IP - HepG2 cells
SPP,SP1,TECR,lung,SP1 IP - A549 cells
SPP,USF1,TECR,uterus,USF1 IP - ECC1 cells
SPP,GATA3,TECR,mammarygland,GATA3 IP - MCF7 cells
SPP,USF2,TECR,leukocytes,USF2 IP - GM12878 cells
SPP,MYC,TECR,mammarygland,"DHT | MYC ChIP-Seq, MYC IP | 4HT - MCF10A cells, MYC IP - MCF-10A cells"
SPP,ZNF384,TECR,leukocytes,ZNF384 IP - K562 cells
SPP,MXI1,TECR,lung,MXI1 IP - IMR cells
SPP,CPDA,TECR,mammarygland,JUN IP | CPDA
SPP,REST,TECR,stemcells,"REST IP - H1 cells, Rep 1"
SPP,TCF12,TECR,cns,TCF12 IP - SK-N-SH cells
SPP,FOXA2,TECR,stemcells,"FOXA2 IP - ES D5, FOXA2 IP - ES D7"
SPP,CEBPB,TECR,uterus,"CEBPB ChIP-Seq - HeLaS3, CEBPB IP - ECC1 cells"
SPP,TCF12,TECR,uterus,TCF12 IP - ECC1 cells
SPP,GLI2,TECR,colon,GLI2 IP 
SPP,CTCF,TECR,hspcs,"CTCF IP - Erythroid cells, Rep 2"
SPP,NFYA,TECR,uterus,NFYA IP - HeLa cells
SPP,GATA3,TECR,lung,GATA3 IP - A549 cells
SPP,REST,TECR,lung,REST IP - A549 cells
SPP,TEAD4,TECR,mammarygland,TEAD4 IP - Rep 1
SPP,E2F4,TECR,uterus,E2F4 IP - HeLa cells
SPP,STAT1,TECR,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min"
SPP,IFNG,TECR,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min"
SPP,TBP,TECR,stemcells,TBP IP - H1 cells
SPP,MAX,TECR,cns,MAX IP - SK-N-SH cells
SPP,SREBF1,TECR,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
SPP,22RHC; INS,TECR,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
SPP,PBX3,TECR,leukocytes,PBX3 IP - GM12878 cells
SPP,EBF1,TECR,adiposetissue,"EBF1 IP, EBF1 IP"
SPP,IRF1,TECR,colon,IRF1 IP 
SPP,FOSL1,TECR,leukocytes,FOSL1 IP - K562 cells
SPP,TFAP4,TECR,leukocytes,TFAP4 IP - Rep 2
SPP,TEAD4,TECR,leukocytes,TEAD4 IP - K562 cells
SPP,MXI1,TECR,stemcells,MXI1 IP - H1 cells
SPP,USF1,TECR,liver,USF1 IP - HepG2 cells
SPP,IFNA1,TECR,leukocytes,"IRF1 IP | IFNA1-13 - K562 cells, 6 h"
SPP,MAFK,TECR,lung,MAFK IP - IMR cells
SPP,CREB1,TECR,lung,CREB1 IP | DEX - A549 cells
SPP,HMGN3,TECR,leukocytes,HMGN3 IP - K562 cells
SPP,REST,TECR,pancreas,"REST IP - Panc1 cells, Rep 3"
SPP,IRF1,TECR,pancreas,IRF1 IP
SPP,FOSL1,TECR,mammarygland,FOSL1 IP
SPP,E2F1,TECR,mammarygland,"E2F1 IP - MCF7 cells, E2F1 IP"
SPP,GMEB2,TECR,colon,GMEB2 IP 
SPP,SRF,TECR,uterus,SRF IP - ECC1 cells
SPP,TEAD4,TECR,cns,TEAD4 IP - SK-N-SH cells
SPP,SRF,TECR,mammarygland,SRF IP - MCF7 cells
SPP,ZBTB7A,TECR,leukocytes,ZBTB7A IP - SK-N-SH cells
SPP,EGR1,TECR,stemcells,EGR1 IP - H1 cells
SPP,MAZ,TECR,lung,MAZ IP - IMR cells
SPP,TBP,TECR,liver,TBP IP - HepG2 cells
SPP,STAT1,TECR,leukocytes,"STAT1 IP - Rep 5, STAT1 IP - Rep 2, STAT1 IP - Rep 1, STAT1 IP - Rep 3"
SPP,ROSI,TECR,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
SPP,MAZ,TECR,leukocytes,"MAZ IP - K562 cells, MAZ IP - GM12878 cells"
SPP,ZBTB7A,TECR,liver,ZBTB7A IP - HepG2 cells
SPP,SOX9,TECR,colon,SOX9 IP 
SPP,IRF4,TECR,leukocytes,IRF4 IP
SPP,BARX1,TECR,colon,BARX1 IP - Rep 1 
SPP,TBP,TECR,uterus,TBP IP - HeLa cells
SPP,PAX5,TECR,leukocytes,"PAX5 IP - GM12878 cells, Rep 2"
SPP,RELA,TECR,colon,RELA IP 
SPP,CUX1,TECR,leukocytes,CUX1 IP - K562 cells
SPP,GATA2,TECR,hspcs,GATA2 IP
SPP,REST,TECR,colon,"REST IP , REST IP - HCT116 cells"
SPP,MAX,TECR,colon,MAX IP - HCT116 cells
SPP,TP53,TECR,mammarygland,"TP53 IP, TP53 IP | NUTL3 - MCF-7"
SPP,JUN,TECR,liver,JUN IP - HepG2 cells
SPP,BANF1,TECR,skin,TP63 IP | BANF1 KD
SPP,MTA3,TECR,leukocytes,MTA3 IP - GM12878 cells
SPP,E2F3,TECR,colon,E2F3 IP 
SPP,TAL1,TECR,leukocytes,TAL1 IP - K562 cells
SPP,CREB1,TECR,uterus,CREB1 IP - ECC1 cells
SPP,ELF1,TECR,liver,ELF1 IP - HepG2 cells
SPP,YY1,TECR,lung,YY1 IP - A549 cells
SPP,FORSK,TECR,liver,CEBPB IP | FORSK - HepG2 cells
SPP,EGR1,TECR,colon,EGR1 IP - HCT116 cells
SPP,CEBPA,TECR,leukocytes,CEBPA IP
SPP,MYC,TECR,uterus,MYC IP - HeLa cells
SPP,GABPA,TECR,liver,GABPA IP - HepG2 cells
SPP,FOXA2,TECR,liver,FOXA2 IP - HepG2 cells
SPP,JUND,TECR,lung,JUND IP - A549 cells
SPP,ATF1,TECR,leukocytes,ATF1 IP - K562 cells
SPP,RUNX1,TECR,hspcs,RUNX1
SPP,SP1,TECR,colon,SP1 IP - HCT116 cells
SPP,MXI1,TECR,liver,MXI1 IP - HepG2 cells
SPP,CREB1,TECR,colon,CREB1 IP 
SPP,SP1,TECR,liver,SP1 IP - HepG2 cells
SPP,FOXP2,TECR,cns,FOXP2 IP - PFSK-1 cells
SPP,DEX,TECR,mammarygland,JUN IP | DEX
SPP,ETV5,TECR,colon,ETV5 IP 
