TF,Overlapping_Genes,Pubmed_ID,Pubmed_Link,Genes mentioned in the paper,Tissue,Paper_Link
PPARD,"ACAA2,HADHB,HADHA",23208498,https://pubmed.ncbi.nlm.nih.gov/23208498/,"ACAA2,HADHB,HADHA",Mammary Gland,https://www.nature.com/articles/onc2012549#Sec29
CREB1,"OXSM,HADH,CBR4",15753290,https://pubmed.ncbi.nlm.nih.gov/15753290/,HADH,"Kidney, Liver, Pancreas",https://www.pnas.org/doi/full/10.1073/pnas.0501076102
HNF4A,"HADHB,HADHA,HADH",19761587,https://pubmed.ncbi.nlm.nih.gov/19761587/,"HADHB,HADHA,HADH","Liver, pancreas, colon, stomach",https://bmcgastroenterol.biomedcentral.com/articles/10.1186/1471-230X-9-68
ZNF652,HADHA,21678463,https://pubmed.ncbi.nlm.nih.gov/21678463/,HADHA,Mammary Gland,https://onlinelibrary.wiley.com/doi/10.1002/jcb.23214
NANOG,"ECHS1,HADH",21062744,https://pubmed.ncbi.nlm.nih.gov/21062744/,"ECHS1,HADH","Stem cells, kidney",https://www.sciencedirect.com/science/article/pii/S0021925820562911?via%3Dihub#sec1
ELK1,"HADHB,CBR4",19687146,https://pubmed.ncbi.nlm.nih.gov/19687146/,"HADHB,CBR4",kidney,https://genome.cshlp.org/content/19/11/1963
CUX1,"MECR,OXSM,HADHB,HADHA",19635798,https://pubmed.ncbi.nlm.nih.gov/19635798/,"MEC,HADHB,HADHA",Mammary Gland,https://www.sciencedirect.com/science/article/pii/S0021925820384398?via%3Dihub#ecomp10
ELF5,"MCAT,CBR4",23300383,https://pubmed.ncbi.nlm.nih.gov/23300383/,"MCAT,CBR4",Mammary Gland,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001461
EGR1,HADHB,19032775,https://pubmed.ncbi.nlm.nih.gov/19032775/,HADHB,Prostate ,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2008-9-11-r166
PBX1,"HADHB,HADHA,HADH",22567123,https://pubmed.ncbi.nlm.nih.gov/22567123/,"HADHB,HADHA,HADH",Ovary,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0036054#s5
HIF1A,OXSM,21447827,https://pubmed.ncbi.nlm.nih.gov/21447827/,OXSM,Mammary Gland,https://ashpublications.org/blood/article/117/23/e207/22454/High-resolution-genome-wide-mapping-of-HIF-binding
SMAD4,CBR4,19686287,https://pubmed.ncbi.nlm.nih.gov/19686287/,CBR4,"Skin, Pancreas, Colon",https://onlinelibrary.wiley.com/doi/10.1111/j.1349-7006.2009.01299.x
