TargetGene,TF,Library/PMID,Tissue,Paper Links
ACAT1,PPARG,19049899,"Heart, Vasculature, Leukocytes, Blood , Bone marrow",http://www.ncbi.nlm.nih.gov/pubmed/?term=19049899
ACAT1,STAT1,18000807,Prostate,http://www.ncbi.nlm.nih.gov/pubmed/?term=18000807
