TF,TargetGene,Effect,PMID,DATABASEA,Tissue
JUN,PTGS2,Unknown,11278336;12057991;16339564;17556653;20237399,Trrust,"bonemarrow,prostate,leukocytes,hspcs,skin,blood,mammarygland,colon,stomach,lung,uterus"
JUNB,PTGS2,Activation,9620167,Trrust,cartilage
JUND,PTGS2,Activation,9620167,Trrust,cartilage
NFKB1,PTGS2,Activation,10827178;12471036;15368354;15387324;15547942;15555528;15997464;16624933;16820889;18057724;18294142;19618291;22001128,Trrust,"sensory,esophagus,prostate,vasculature,skin,mammarygland,lung,colon,leukocytes"
NFKB1,PTGS2,Repression,12622742;15517885,Trrust,"lung,liver,kidney"
PGR,PTGS2,Repression,18483177,Trrust,mammarygland
PPARG,PTGS2,Activation,11412039,Trrust,"rectum,colon"
PPARG,PTGS2,Repression,14555539;16506021,Trrust,"uterus,colon"
RELA,PTGS2,Activation,10827178;12471036;15368354;15387324;15547942;15555528;15997464;16624933;16820889;18057724;18294142;19618291;22001128,Trrust,"sensory,esophagus,prostate,vasculature,skin,lung,leukocytes"
RELA,PTGS2,Repression,12622742;15517885,Trrust,"lung,liver,kidney"
SETBP1,PTGS2,Repression,18419541,Trrust,lung
SP1,PTGS2,Activation,15767339,Trrust,"rectum,colon"
SP1,PTGS2,Repression,15767339,Trrust,"rectum,colon"
STAT1,PTGS2,Activation,12586443,Trrust,heart
STAT2,PTGS2,Activation,12586443,Trrust,heart
STAT3,PTGS2,Activation,20145033,Trrust,cns
STAT6,PTGS2,Activation,17237818,Trrust,lung
TCF7L2,PTGS2,Unknown,11396184,Trrust,"rectum,colon"
TFAP2A,PTGS2,Unknown,16423197,Trrust,lung
USF1,PTGS2,Repression,18817855,Trrust,cns
USF2,PTGS2,Unknown,12057991,Trrust,uterus
SP1,AMACR,Unknown,19148275,Trrust,colon
ZNF202,AMACR,Unknown,19148275,Trrust,colon
FOXO3,PIK3CA,Unknown,19299143,Trrust,leukocytes
HIF1A,PIK3CA,Unknown,23060442,Trrust,vasculature
RUNX1,PIK3CD,Unknown,19638627,Trrust,megakaryocytelineage
AR,PTEN,Activation,23418309,Trrust,mammarygland
AR,PTEN,Unknown,20729295;21532617,Trrust,"prostate,mammarygland"
EGR1,PTEN,Activation,17516844;20514024,Trrust,"mammarygland,bone"
EGR1,PTEN,Unknown,20959484,Trrust,lung
EZH2,PTEN,Unknown,22956625,Trrust,leukocytes
HES1,PTEN,Repression,18414037,Trrust,leukocytes
MTA1,PTEN,Repression,22700976,Trrust,mammarygland
MXD1,PTEN,Repression,17998413,Trrust,fibroblasts
NFKB1,PTEN,Activation,17334236;19940030,Trrust,pancreas
NFKB1,PTEN,Repression,19940030,Trrust,pancreas
PPARG,PTEN,Activation,11378386;16425225;16775433;20198337,Trrust,"mammarygland,liver,uterus"
RBPJ,PTEN,Repression,17245125,Trrust,kidney
RELA,PTEN,Activation,17334236;19940030,Trrust,pancreas
RELA,PTEN,Repression,19940030,Trrust,pancreas
SP1,PTEN,Unknown,22030357,Trrust,cns
STAT3,PTEN,Activation,22055460,Trrust,"cns,kidney,liver,skin"
TCF4,PTEN,Repression,21132538,Trrust,"rectum,colon"
TFAP2A,PTEN,Activation,18316341,Trrust,colon
TP53,PTEN,Repression,17344317,Trrust,lung
TP53,PTEN,Unknown,11545734,Trrust,"cns,mammarygland,kidney,prostate"
MYF6,ACACB,Unknown,11076940,Trrust,"heart,skeletalmuscle"
MYOD1,ACACB,Unknown,11076940,Trrust,"heart,skeletalmuscle"
MYOG,ACACB,Unknown,11076940,Trrust,"heart,skeletalmuscle"
SREBF1,ACACB,Unknown,12764144,Trrust,liver
GATA4,SGPL1,Unknown,21184844,Trrust,lung
SP1,SGPL1,Unknown,21184844,Trrust,lung
CREB1,CYP11A1,Unknown,11057754,Trrust,liver
GRHL1,CYP11A1,Unknown,18004979,Trrust,placenta
JUN,CYP11A1,Unknown,11057754,Trrust,liver
NR4A1,CYP11A1,Unknown,20083153,Trrust,ovary
NR5A1,CYP11A1,Unknown,11057754;23530236,Trrust,"liver,ovary"
NR5A2,CYP11A1,Unknown,19067654,Trrust,liver
SF1,CYP11A1,Activation,19477906,Trrust,liver
TFAP2A,CYP11A1,Unknown,10446912,Trrust,placenta
TFCP2L1,CYP11A1,Unknown,18004979,Trrust,placenta
UBP1,CYP11A1,Unknown,18004979,Trrust,placenta
ATF1,CYP11B1,Unknown,11014212;11196473,Trrust,adrenalgland
ATF2,CYP11B1,Unknown,11014212;11196473,Trrust,adrenalgland
CREB1,CYP11B1,Unknown,11196473,Trrust,adrenalgland
NR5A1,CYP11B1,Unknown,11014212,Trrust,adrenalgland
ATF1,CYP11B2,Unknown,11196473,Trrust,adrenalgland
ATF2,CYP11B2,Unknown,11196473,Trrust,adrenalgland
CREB1,CYP11B2,Unknown,11196473,Trrust,adrenalgland
CREB1,CYP17A1,Unknown,2543297,Trrust,adrenalgland
GATA4,CYP17A1,Unknown,14988427,Trrust,"adrenalgland,placenta"
NFIC,CYP17A1,Activation,14684846,Trrust,ovary
NR2F1,CYP17A1,Repression,11592817,Trrust,adrenalgland
NR4A1,CYP17A1,Unknown,20083153,Trrust,ovary
NR5A1,CYP17A1,Activation,17786540,Trrust,adrenalgland
PIAS1,CYP17A1,Unknown,21467194,Trrust,adrenalgland
SMAD3,CYP17A1,Repression,17786540,Trrust,adrenalgland
SP1,CYP17A1,Unknown,11379008;11463853,Trrust,"adrenalgland,ovary"
SP3,CYP17A1,Unknown,11463853,Trrust,adrenalgland
NF1,HSD11B2,Unknown,17551100,Trrust,colon
NFIC,HSD11B2,Unknown,17551100,Trrust,colon
NFKB1,HSD11B2,Activation,15659537,Trrust,colon
NFKB1,HSD11B2,Repression,15659537,Trrust,colon
NR3C1,HSD11B2,Unknown,17551100,Trrust,colon
