TargetGene,TF,Library/PMID,Tissue,Pubmed Links
AMACR,SP1,19148275,Colon,https://pubmed.ncbi.nlm.nih.gov/19148275/
AMACR,ZNF202,19148275,Colon,https://pubmed.ncbi.nlm.nih.gov/19148275/
