TargetGene,TF,Library/PMID,Tissue,Paper links
HMGCR,SREBF2,31848472,"Heart, CNS",http://www.ncbi.nlm.nih.gov/pubmed/31848472
DHCR24,SP1,22431021,Liver,http://www.ncbi.nlm.nih.gov/pubmed/22431021
