TargetGene,TF,Library/PMID,Pubmed_Link,Tissue
GK,"FOXO1, FOXO, HNF4A",18805788,https://pubmed.ncbi.nlm.nih.gov/18805788/,Liver
GK3,CREB5,21132541,https://pubmed.ncbi.nlm.nih.gov/21132541/,CNS
MOGAT2,TFEB,30145926,http://www.ncbi.nlm.nih.gov/pubmed/30145926,"Kidney, Uterus"
