TargetGene,TF,Library/PMID,Tissue,Pubmed Links
SMPD1,SP1,10224156,Leukocytes,https://pubmed.ncbi.nlm.nih.gov/10224156/
GBA,ETV4,9272862,"Leukocytes, Bone marrow",https://pubmed.ncbi.nlm.nih.gov/9272862/
ASAH1,KLF6,16500425,Fibroblasts,https://pubmed.ncbi.nlm.nih.gov/16500425/
