TF,Overlapping_Genes,Pubmed_ID,Genes mentioned in the paper,Tissue,Paper Link
SMAD4,GGPS1,19686287,GGPS1,Skin,https://onlinelibrary.wiley.com/doi/10.1111/j.1349-7006.2009.01299.x
JUND,"HMGCS1,MSMO1,PMVK",26020271,not found,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005202
GATA6,"FDPS,DHCR24,LSS",25053715,not found,,paid https://gut.bmj.com/content/64/5/707
RELA,"HMGCS1,PLPP6",24523406,"HMGCS1,PLPP6",Miscellaneous,https://www.sciencedirect.com/science/article/pii/S0021925820415108?via%3Dihub#sec1
TCF4,PMVK,18268006,PMVK,Colon,https://www.tandfonline.com/doi/full/10.1128/MCB.02175-07?scroll=top&needAccess=true
BACH1,"LSS,ACAT2",22875853,"LSS,ACAT2",Mammary Gland,https://www.jbc.org/article/S0021-9258(20)62856-3/fulltext
FOXP3,"PMVK,SC5D",21729870,not found,,https://academic.oup.com/nar/article/39/18/7946/1084168?login=true
NR1H3,SC5D,23393188,SC5D,Leukocytes,https://academic.oup.com/nar/article/41/6/3518/2902510?login=true
STAT1,HSD17B7,20625510,not found,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0011425
ETS1,"FDPS,GGPS1",20019798,"FDPS,GGPS1",Leukocytes,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000778
DACH1,"FDPS,MVK",20351289,"FDPS,MVK",Mammary Gland,https://www.pnas.org/doi/full/10.1073/pnas.1002746107#supplementary-materials
AHR,DHCR7,22903824,not found,,paid https://academic.oup.com/toxsci/article-abstract/130/2/349/1725824?redirectedFrom=fulltext&login=true
FLI1,"IDI1,HMGCS1,GGPS1,TM7SF2,SC5D,DHCR7",21571218,"IDI1,HMGCS1,GGPS1,TM7SF2,SC5D,DHCR7",Megakaryocyte lineage,https://www.sciencedirect.com/science/article/pii/S1534580711001596?via%3Dihub
FOXP1,"FDPS,TM7SF2,PLPP6,SQLE",21924763,"FDPS,TM7SF2,PLPP6,SQLE",Stem cells,https://www.sciencedirect.com/science/article/pii/S0092867411009494?via%3Dihub
SMAD3,"IDI1,PMVK",18955504,not found,,https://www.tandfonline.com/doi/full/10.1128/MCB.01038-08?scroll=top&needAccess=true
RBPJ,"TM7SF2,PMVK",21746931,not found,,https://www.pnas.org/doi/full/10.1073/pnas.1108892108#supplementary-materials
BCL6,"HMGCR,SQLE",25482012,not found,,paid https://www.sciencedirect.com/science/article/abs/pii/S1874939914002958?via%3Dihub
ARNT,DHCR7,22903824,not found,,paid https://academic.oup.com/toxsci/article-abstract/130/2/349/1725824?redirectedFrom=fulltext&login=true
PBX1,"HSD17B7,DHCR7",22567123,"HSD17B7,DHCR7",Ovary,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0036054#s5
MITF,"HMGCS1,DHCR24,LSS,PMVK,SC5D",21258399,"HMGCS1,DHCR24,LSS,PMVK,SC5D",Skin,https://www.nature.com/articles/onc2010612
ZNF217,DHCR7,24962896,DHCR7,Mammary Gland,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-15-520
POU3F2,MSMO1,20337985,MSMO1,Skin,https://onlinelibrary.wiley.com/doi/10.1111/j.1755-148X.2010.00697.x
RUNX2,"PMVK,DHCR7",22187159,not found,,https://academic.oup.com/nar/article/40/8/3538/2411202?login=true#supplementary-data
HOXB7,DHCR24,26014856,not found,,https://onlinelibrary.wiley.com/doi/10.1002/ijc.29616
TCF21,DHCR24,26020271,not found,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005202
