TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
R1881,ACOT8,prostate,"GABPA IP | R1881, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1",,,
SOX2,ACOT8,stemcells,"SOX2 IP - Rep 2 , SOX2 IP - Rep 3 , SOX2 IP - Rep 2, SOX2 IP",,,
FOXA1,ACOT8,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, FOXA1 KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , GATA2 KD  | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - LNCaP-abl, GATA2 KD + R1881 | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, FOXA1 KD | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, FOXA1 ChIP-Seq, CON KD  | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq",,,
KLF11,ACOT8,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 1",,,
ROSI,ACOT8,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1",,,
SIX5,ACOT8,leukocytes,SIX5 IP - GM12878 cells,,,
YY1,ACOT8,colon,YY1 IP - HCT116 cells,,,
MAX,ACOT8,uterus,"MAX IP - HeLa cells, Rep 1, MAX IP - ECC1 cells, MAX IP - HeLa cells, Rep 2",,,
SIX5,ACOT8,lung,SIX5 IP | DEX - A549 cells,,,
SREBF1,ACOT8,liver,SREBF1 IP | INS + 22RHC - HepG2 cells,,,
22RHC; INS,ACOT8,liver,SREBF1 IP | INS + 22RHC - HepG2 cells,,,
REST,ACOT8,leukocytes,"REST IP - GM12878 cells, Rep 14 , REST IP - HL60 cells, REST IP - K562 cells, REST IP - GM12878 cells, Rep 1, REST IP - GM12878 cells, Rep 16 ",,,
CEBPB,ACOT8,uterus,CEBPB ChIP-Seq - HeLaS3,,,
STAT1,ACOT8,leukocytes,"STAT1 IP - Rep 5, STAT1 IP - Rep 4, STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 2",,,
MAFF,ACOT8,liver,MAFF IP - HepG2 cells,,,
GATA3,ACOT8,mammarygland,"GATA3 IP - T47D cells, GATA3 IP - MCF7 cells",,,
TEAD4,ACOT8,leukocytes,TEAD4 IP - K562 cells,,,
ELF1,ACOT8,liver,ELF1 IP - HepG2 cells,,,
SIX2,ACOT8,kidney,"SIX2 IP - 17 weeks, Rep 2, SIX2 IP - 17 weeks, Rep 1",,,
ZNF384,ACOT8,leukocytes,ZNF384 IP - K562 cells,,,
MAX,ACOT8,lung,MAX IP - A549 cells,,,
OTX2,ACOT8,stemcells,"OTX2 IP - Rep 10 , OTX2 IP - Rep 2 , OTX2 IP - Rep 8 , OTX2 IP - Rep 5 ",,,
ERG,ACOT8,prostate,"CON KD | ERG ChIP-Seq, ERG ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h, JQI | ERG ChIP-Seq - Rep 2, DMSO | ERG ChIP-Seq - Rep 1, ERG ChIP-Seq, JQI | ERG ChIP-Seq - Rep 1, DMSO | ERG ChIP-Seq - Rep 2",,,
SP2,ACOT8,liver,SP2 IP - HepG2 cells,,,
UBTF,ACOT8,leukocytes,UBTF IP - K562 cells,,,
SRF,ACOT8,uterus,SRF IP - ECC1 cells,,,
MAZ,ACOT8,lung,MAZ IP - IMR cells,,,
DHT,ACOT8,prostate,"DHT | ERG ChIP-Seq - 18 h, DHT | FOXA1 ChIP-Seq, DHT | ERG ChIP-Seq - 2 h, DHT | FOXA1 ChIP-Seq, DHT | FOXP1 ChIP-Seq",,,
CEBPB,ACOT8,liver,"CEBPB ChIP-Seq - HepG2, CEBPB IP | FORSK - HepG2 cells, CEBPB IP - HepG2 cells",,,
SP2,ACOT8,stemcells,SP2 IP - H1 cells,,,
MAX,ACOT8,liver,"MAX IP - MCF7 cells, MAX IP - HepG2 cells, MAX IP - HepG2 cells",,,
JUN,ACOT8,leukocytes,"JUN IP - K562 cells, Rep 1",,,
SRF,ACOT8,mammarygland,SRF IP - MCF7 cells,,,
GATA2,ACOT8,prostate,"GATA2 KD  | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq, GATA2 ChIP-Seq, GATA2 ChIP-Seq - Rep 2",,,
USF1,ACOT8,liver,USF1 IP - HepG2 cells,,,
RELA,ACOT8,leukocytes,"RELA IP | TNF - GM18505 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM12878 cells, RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM19099 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells",,,
TNF,ACOT8,leukocytes,"RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM12878 cells, RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells",,,
PBX3,ACOT8,leukocytes,PBX3 IP - GM12878 cells,,,
CREB1,ACOT8,prostate,"CREB1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - LNCaP-abl, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2",,,
GABPA,ACOT8,uterus,GABPA IP - HeLa cells,,,
GABPA,ACOT8,liver,"GABPA IP - MCF7 cells, GABPA IP, GABPA IP, GABPA IP - HepG2 cells, GABPA IP",,,
MYC,ACOT8,leukocytes,"MYC IP - NB4 cells, MYC IP | IFNA1 - K562 cells, 30 min, MYC IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min, MYC IP | IFNA1 - K562 cells, 6 h, MYC IP - K562 cells, Rep 1, MYC IP - K562 cells, Rep 2",,,
E2F4,ACOT8,uterus,E2F4 IP - HeLa cells,,,
STAT1,ACOT8,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min",,,
IFNG,ACOT8,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min",,,
TCF7L2,ACOT8,mammarygland,TCF7L2 ChIP-Seq,,,
ELF1,ACOT8,cns,ELF1 IP - SK-N-SH cells,,,
YY1,ACOT8,cns,"YY1 IP - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells",,,
BHLHE40,ACOT8,leukocytes,"BHLHE40 IP - K562 cells, BHLHE40 IP - GM12878 cells",,,
REST,ACOT8,uterus,REST IP - ECC1 cells,,,
ELF1,ACOT8,colon,ELF1 IP - HCT116 cells,,,
BAY082,ACOT8,leukocytes,"RELA IP | BAY082  - IVD Th1 cells, PIA",,,
NFKB1,ACOT8,leukocytes,NFKB1 IP - Rep 2,,,
SRF,ACOT8,liver,SRF IP - HepG2 cells,,,
POU2F2,ACOT8,leukocytes,POU2F2 IP - GM12878 cells,,,
IFNA1,ACOT8,leukocytes,"MYC IP | IFNA1 - K562 cells, 30 min, IRF1 IP | IFNA1-13 - K562 cells, 6 h, MYC IP | IFNA1 - K562 cells, 6 h",,,
MAFK,ACOT8,liver,"MAFK IP - HepG2 cells, Rep 2, MAFK IP - HepG2 cells, Rep 1",,,
ARID3A,ACOT8,leukocytes,ARID3A IP - K562 cells,,,
TBP,ACOT8,uterus,TBP IP - HeLa cells,,,
EGR1,ACOT8,liver,EGR1 IP - MCF7 cells,,,
ELF1,ACOT8,leukocytes,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells",,,
MTA3,ACOT8,leukocytes,MTA3 IP - GM12878 cells,,,
EBF1,ACOT8,leukocytes,"EBF1 IP - GM12878 cells, EBF1 IP - GM12878 cells",,,
HEY1,ACOT8,liver,HEY1 IP - HepG2 cells,,,
STAT5A,ACOT8,leukocytes,"STAT5A IP - K562 cells, STAT5A IP - GM12878 cells",,,
USF2,ACOT8,uterus,USF2 IP - HeLa cells,,,
REST,ACOT8,cns,"REST IP - SK cells, REST IP - PFSK1 cells, Rep 2, REST IP - U87 cells, REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - SK-N-SH cells",,,
FOSL2,ACOT8,lung,FOSL2 IP - A549 cells,,,
FOS,ACOT8,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h",,,
CREB1,ACOT8,leukocytes,"CREB1 IP - K562 cells, CREB1 IP - GM12878 cells",,,
REST,ACOT8,liver,"REST IP - HepG2 cells, Rep 2, REST IP - HepG2 cells, Rep 1",,,
SMAD4,ACOT8,embryonictissue,SMAD4 IP - endoderm,21741376,,
BARX1,ACOT8,colon,BARX1 IP - Rep 1 ,,,
DEX,ACOT8,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2",,,
FOSL2,ACOT8,liver,FOSL2 IP - HepG2 cells,,,
TCF12,ACOT8,lung,TCF12 IP - A549 cells,,,
EGR1,ACOT8,leukocytes,EGR1 IP - K562 cells,,,
SMAD1,ACOT8,hspcs,SMAD1 IP - Rep 3,,,
E2F3,ACOT8,colon,E2F3 IP ,,,
SP1,ACOT8,stemcells,SP1 IP - H1 cells,,,
CREB1,ACOT8,liver,"CREB1 IP, CREB1 IP, CREB1 IP - HepG2 cells, CREB1 IP",,,
ATF2,ACOT8,colon,ATF2 IP ,,,
TBP,ACOT8,leukocytes,"TBP IP - GM12878 cells, TBP IP - K562 cells",,,
FOS,ACOT8,leukocytes,"FOS IP - GM12878 cells, FOS IP - K562 cells",,,
FORSK,ACOT8,liver,CEBPB IP | FORSK - HepG2 cells,,,
ATF2,ACOT8,leukocytes,ATF2 IP - GM12878 cells,,,
STAT3,ACOT8,uterus,STAT3 IP - HeLa cells,,,
CREB1,ACOT8,stemcells,CREB1 IP - H1 cells,,,
JQ1,ACOT8,prostate,"JQI | ERG ChIP-Seq - Rep 2, JQI | ERG ChIP-Seq - Rep 1",,,
