TF,Overlapping_Genes,Pubmed_ID,Pubmed_Link,Genes mentioned in the paper,Tissue,Paper_Link
SOX11,"SCD,ACOT1",23321250,https://pubmed.ncbi.nlm.nih.gov/23321250/,"SCD,ACOT1",Leukocytes,https://ashpublications.org/blood/article/121/12/2175/31453/SOX11-regulates-PAX5-expression-and-blocks
AR,"HACD1,ACOT7,ELOVL4,ELOVL3,HACD2",19668381,https://pubmed.ncbi.nlm.nih.gov/19668381/,"HACD1,ACOT7,ELOVL4,ELOVL3,HACD2",Prostate ,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0006589
TFAP2A,"TECR,HSD17B12,FADS1",17053090,https://pubmed.ncbi.nlm.nih.gov/17053090/,"TECR,HSD17B12,FADS1","Mammary Gland, Uterus",https://genome.cshlp.org/content/16/12/1585.full
ESR2,ACOT4,21235772,https://pubmed.ncbi.nlm.nih.gov/21235772/,ACOT4,Mammary Gland,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-12-36#Abs1
CLOCK,ACOT1,20551151,https://pubmed.ncbi.nlm.nih.gov/20551151/,ACOT1,"Colon, Rectum",https://aacrjournals.org/mcr/article/8/7/952/90638/Mutations-in-the-Circadian-Gene-CLOCK-in
ATF3,"ACOT7,ELOVL6,ACOT2",23680149,https://pubmed.ncbi.nlm.nih.gov/23680149/,"ACOT7,ELOVL6,ACOT2",CNS,https://www.cell.com/cancer-cell/fulltext/S1535-6108(13)00133-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1535610813001335%3Fshowall%3Dtrue
NFE2L2,ELOVL1,22581777,https://pubmed.ncbi.nlm.nih.gov/22581777/,ELOVL1,Leukocytes,https://academic.oup.com/nar/article/40/15/7416/1213698?login=true#supplementary-data
ZNF217,"ELOVL5,ELOVL2",24962896,https://pubmed.ncbi.nlm.nih.gov/24962896/,"ELOVL5,ELOVL2",Mammary Gland,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-15-520#Sec25
SMAD4,"ELOVL5,HSD17B12,HACD2",21799915,https://pubmed.ncbi.nlm.nih.gov/21799915/,"ELOVL5,HSD17B12,HACD2",Ovary,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0022606#s5
ETS1,"HSD17B12,HACD2",20019798,https://pubmed.ncbi.nlm.nih.gov/20019798/,"HSD17B12,HACD2",Leukocytes,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000778
CUX1,"ACOT7,ELOVL5,FADS2",19635798,https://pubmed.ncbi.nlm.nih.gov/19635798/,"ACOT7,ELOVL5,FADS2","Mammary Gland, Kidney, Embryonic tissue",https://www.jbc.org/article/S0021-9258(20)38439-8/fulltext
HOXB7,"HSD17B12,ACOT4",26014856,https://pubmed.ncbi.nlm.nih.gov/26014856/,ACOT4,Mammary Gland,https://onlinelibrary.wiley.com/doi/10.1002/ijc.29616
PBX1,"HACD2,HACD4",22567123,https://pubmed.ncbi.nlm.nih.gov/22567123/,"HACD2,HACD4",Ovary,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0036054#s5
BACH1,ELOVL2,22875853,https://pubmed.ncbi.nlm.nih.gov/22875853/,ELOVL2,Mammary Gland,https://www.jbc.org/article/S0021-9258(20)62856-3/fulltext
POU3F2,BAAT,20337985,https://pubmed.ncbi.nlm.nih.gov/20337985/,BAAT,Skin,https://onlinelibrary.wiley.com/doi/10.1111/j.1755-148X.2010.00697.x
DACH1,FADS2,20351289,https://pubmed.ncbi.nlm.nih.gov/20351289/,FADS2,Mammary Gland,https://www.pnas.org/doi/full/10.1073/pnas.1002746107
