Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
227,227,227,SPP,SREBF2,FASN,liver,SREBF2 IP | PRAV - HepG2 cells
228,228,228,SPP,SATB1,FASN,liver,SATB1 IP
229,229,229,SPP,NFYB,FASN,uterus,NFYB IP - HeLa cells
230,230,230,SPP,EGR1,FASN,leukocytes,EGR1 IP - K562 cells
231,231,231,SPP,ELF1,FASN,leukocytes,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
232,232,232,SPP,HEY1,FASN,leukocytes,HEY1 IP - K562 cells
233,233,233,SPP,HEY1,FASN,liver,HEY1 IP - HepG2 cells
234,234,234,SPP,IKZF1,FASN,leukocytes,IKZF1 IP - GM12878 cells
235,235,235,SPP,IRF1,FASN,pancreas,IRF1 IP
236,236,236,SPP,BACH1,FASN,stemcells,BACH1 IP - H1 cells
237,237,237,SPP,UBTF,FASN,leukocytes,"UBTF IP - K562 cells, UBTF IP - K562 cells"
238,238,238,SPP,BANF1,FASN,skin,TP63 IP | BANF1 KD
239,239,239,SPP,TBP,FASN,leukocytes,"TBP IP - GM12878 cells, TBP IP - K562 cells"
240,240,240,SPP,ELF1,FASN,mammarygland,ELF1 IP - MCF7 cells
241,241,241,SPP,PBX3,FASN,leukocytes,PBX3 IP - GM12878 cells
242,242,242,SPP,CTCF,FASN,esophagus,"CTCF IP - HEEpiC cells, Rep 1 "
243,243,243,SPP,TCF12,FASN,lung,TCF12 IP - A549 cells
244,244,244,SPP,JUND,FASN,colon,JUND IP - HCT116 cells
245,245,245,SPP,MXI1,FASN,uterus,MXI1 IP - HeLa cells
246,246,246,SPP,FORSK,FASN,liver,CEBPB IP | FORSK - HepG2 cells
247,247,247,SPP,SRF,FASN,mammarygland,SRF IP - MCF7 cells
248,248,248,SPP,TP63,FASN,thyroidgland,TP63 IP - TT MTC
249,249,249,SPP,USF1,FASN,uterus,USF1 IP - ECC1 cells
250,250,250,SPP,TCF7L2,FASN,mammarygland,TCF7L2 ChIP-Seq
251,251,251,SPP,ROSI,FASN,leukocytes,ROSI | SPI1 ChIP-Seq
252,252,252,SPP,BHLHE40,FASN,liver,BHLHE40 IP - HepG2 cells
253,253,253,SPP,NFYA,FASN,uterus,NFYA IP - HeLa cells
254,254,254,SPP,USF1,FASN,colon,USF1 IP - HCT116 cells
255,255,255,SPP,TCF12,FASN,leukocytes,TCF12 IP - GM12878 cells
256,256,256,SPP,IRF1,FASN,colon,IRF1 IP 
257,257,257,SPP,MYC,FASN,lung,MYC IP - A549 cells
258,258,258,SPP,YY1,FASN,colon,YY1 IP - HCT116 cells
259,259,259,SPP,22RHC; INS,FASN,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
260,260,260,SPP,MAZ,FASN,uterus,MAZ IP - HeLa cells
