Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
122,122,122,SPP,MAFK,ELOVL2,liver,"MAFK IP - HepG2 cells, Rep 2"
123,123,123,SPP,FOXP2,ELOVL2,cns,FOXP2 IP - PFSK-1 cells
124,124,124,SPP,YY1,ELOVL2,uterus,YY1 IP - ECC1 cells
125,125,125,SPP,YY1,ELOVL2,stemcells,YY1 IP - H1 cells
126,126,126,SPP,REST,ELOVL2,mammarygland,REST IP - MCF7 cells
127,127,127,SPP,ZNF217,ELOVL2,mammarygland,ZNF217 IP - MCF7 cells
128,128,128,SPP,MAX,ELOVL2,lung,MAX IP - A549 cells
129,129,129,SPP,TEAD4,ELOVL2,lung,TEAD4 IP - A549 cells
130,130,130,SPP,JUND,ELOVL2,liver,"JUND IP - HepG2 cells, JUND IP - HepG2 cells"
131,131,131,SPP,MAZ,ELOVL2,liver,MAZ IP - HepG2 cells
132,132,132,SPP,E2F6,ELOVL2,stemcells,E2F6 IP - H1 cells
133,133,133,SPP,SP1,ELOVL2,liver,SP1 IP - HepG2 cells
134,134,134,SPP,JUND,ELOVL2,colon,JUND IP - HCT116 cells
135,135,135,SPP,MXI1,ELOVL2,lung,MXI1 IP - IMR cells
136,136,136,SPP,MAX,ELOVL2,stemcells,MAX IP - H1 cells
137,137,137,SPP,MAZ,ELOVL2,leukocytes,MAZ IP - K562 cells
138,138,138,SPP,REST,ELOVL2,liver,"REST IP - HepG2 cells, Rep 1, REST IP - HepG2 cells, Rep 2"
139,139,139,SPP,RELA,ELOVL2,leukocytes,RELA IP | TNF - GM12891 cells
140,140,140,SPP,TNF,ELOVL2,leukocytes,RELA IP | TNF - GM12891 cells
141,141,141,SPP,FORSK,ELOVL2,liver,CEBPB IP | FORSK - HepG2 cells
142,142,142,SPP,HEY1,ELOVL2,liver,HEY1 IP - HepG2 cells
143,143,143,SPP,PIAS1,ELOVL2,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1"
144,144,144,SPP,CTCF,ELOVL2,adiposetissue,"CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d 0"
145,145,145,SPP,ELF1,ELOVL2,liver,ELF1 IP - HepG2 cells
146,146,146,SPP,ARID3A,ELOVL2,liver,ARID3A IP - HepG2 cells
147,147,147,SPP,ERG,ELOVL2,prostate,"ERG ChIP-Seq, DHT | ERG ChIP-Seq - 18 h"
148,148,148,SPP,ZNF143,ELOVL2,leukocytes,ZNF143 IP - K562 cells
149,149,149,SPP,ZNF143,ELOVL2,stemcells,ZNF143 IP - H1 cells
150,150,150,SPP,TCF12,ELOVL2,liver,TCF12 IP - HepG2 cells
151,151,151,SPP,MTA3,ELOVL2,leukocytes,MTA3 IP - GM12878 cells
152,152,152,SPP,MAX,ELOVL2,uterus,MAX IP - ECC1 cells
153,153,153,SPP,FOXP1,ELOVL2,leukocytes,FOXP1 IP - OCI-LY19
154,154,154,SPP,TEAD1,ELOVL2,cns,TEAD1 IP - Rep 2
