TF,Overlapping_Genes,Pubmed_ID,Pubmed_Link,Genes mentioned in the paper,Tissue,Paper Link
JUN,ACER1,21703547,https://pubmed.ncbi.nlm.nih.gov/21703547/,not found,,paid https://www.sciencedirect.com/science/article/abs/pii/S1673852711000890?via%3Dihub
SMAD3,SGPL1,18955504,https://pubmed.ncbi.nlm.nih.gov/18955504/,SGPL1,Skin,https://www.tandfonline.com/doi/suppl/10.1128/MCB.01038-08?scroll=top
HOXB7,ACER2,26014856,https://pubmed.ncbi.nlm.nih.gov/26014856/,not found,Mammary Gland,https://onlinelibrary.wiley.com/doi/10.1002/ijc.29616
PBX1,PLPP3,22567123,https://pubmed.ncbi.nlm.nih.gov/22567123/,PLPP3,Ovary,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0036054#abstract0
GATA1,PLPP1,21571218,https://pubmed.ncbi.nlm.nih.gov/21571218/,PLPP1,Blood,https://www.cell.com/developmental-cell/fulltext/S1534-5807(11)00159-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1534580711001596%3Fshowall%3Dtrue
CUX1,PLPP1,19635798,https://pubmed.ncbi.nlm.nih.gov/19635798/,PLPP1,Lung,https://www.sciencedirect.com/science/article/pii/S0021925820384398?via%3Dihub
RUNX2,PLPP3,22187159,https://pubmed.ncbi.nlm.nih.gov/22187159/,not found,Prostate,https://academic.oup.com/nar/article/40/8/3538/2411202?login=false#supplementary-data
MITF,PLPP3,21258399,https://pubmed.ncbi.nlm.nih.gov/21258399/,PLPP3,Skin,https://www.nature.com/articles/onc2010612
FLI1,SGPP2,21571218,https://pubmed.ncbi.nlm.nih.gov/21571218/,SGPP2,Blood,https://www.cell.com/developmental-cell/fulltext/S1534-5807(11)00159-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1534580711001596%3Fshowall%3Dtrue
EGR1,SGPL1,20690147,https://pubmed.ncbi.nlm.nih.gov/20690147/,SGPL1,Erythroid lineage,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/10.1002/elps.201000094
