TF,TargetGene,Tissue,chea,signor,trrust,Experiment
GABPA,ACAA2,lung,,,,GABPA IP - A549 cells
TEAD4,ACAA2,leukocytes,,,,TEAD4 IP - K562 cells
FOS,ACAA2,vasculature,,,,FOS IP - HUVEC cells
OTX2,ACAA2,stemcells,,,,OTX2 IP - Rep 10 
FOXA1,ACAA2,mammarygland,,,,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1"
DEX,ACAA2,mammarygland,,,,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2"
E2F1,ACAA2,prostate,,,,"E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 2, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 3"
HES6,ACAA2,prostate,,,,"HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 1, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4"
ZNF263,ACAA2,kidney,,,,ZNF263 IP - HEK293 cells
JUND,ACAA2,cns,,,,JUND IP - SK-N-SH cells
SP1,ACAA2,colon,,,,SP1 IP - HCT116 cells
CTCF,ACAA2,leukocytes,,,,"CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 2 , CTCF IP, CTCF IP - MS1 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 2 "
RUNX1,ACAA2,hspcs,,,,RUNX1
ETS1,ACAA2,leukocytes,,,,ETS1 IP
ZBTB7A,ACAA2,liver,,,,ZBTB7A IP - HepG2 cells
MAFK,ACAA2,liver,,,,"MAFK IP - HepG2 cells, Rep 2, MAFK IP - HepG2 cells, Rep 1"
HEY1,ACAA2,leukocytes,,,,HEY1 IP - K562 cells
TCF12,ACAA2,leukocytes,,,,TCF12 IP - GM12878 cells
HEY1,ACAA2,liver,,,,HEY1 IP - HepG2 cells
BICALU,ACAA2,prostate,,,,"HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 3"
SPI1,ACAA2,leukocytes,,,,"SPI1 IP, ROSI | SPI1 ChIP-Seq, SPI1 IP - GM12891 cells, SPI1 IP - U-937 cells, Rep 5 , SPI1 IP - U-937 cells, Rep 4 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP - GM12878 cells, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP | RUNX1 KD, SPI1 IP, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP, SPI1 IP - K562 cells, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP, SPI1 IP - HL cells, SPI1 IP, SPI1 IP, SPI1 IP"
RUNX1,ACAA2,leukocytes,,,,"RUNX1 IP, SPI1 IP | RUNX1 KD"
SP1,ACAA2,lung,,,,SP1 IP - A549 cells
STAT5B,ACAA2,leukocytes,,,,"STAT5B IP | IL2 - Rep 2, STAT5B IP | H9RET, Rep 2, STAT5B IP | H9RET, Rep 2, STAT5B IP | H9, Rep 2, STAT5B IP | IL2 - Rep 2, STAT5B IP | H9, Rep 2"
IL2,ACAA2,leukocytes,,,,"STAT5B IP | IL2 - Rep 2, STAT5B IP | IL2 - Rep 2"
MAFK,ACAA2,stemcells,,,,MAFK IP - H1 cells
TBP,ACAA2,leukocytes,,,,"TBP IP - GM12878 cells, TBP IP - K562 cells"
MAFK,ACAA2,lung,,,,MAFK IP - IMR cells
BHLHE40,ACAA2,leukocytes,,,,BHLHE40 IP - GM12878 cells
GATA2,ACAA2,prostate,,,,"GATA2 KD  | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq"
YY1,ACAA2,lung,,,,YY1 IP - A549 cells
CREB1,ACAA2,lung,,,,CREB1 IP | DEX - A549 cells
DEX,ACAA2,lung,,,,CREB1 IP | DEX - A549 cells
ELF1,ACAA2,liver,,,,ELF1 IP - HepG2 cells
EGR1,ACAA2,uterus,,,,EGR1 IP - ECC1 cells
ROSI,ACAA2,leukocytes,,,,ROSI | SPI1 ChIP-Seq
IRF4,ACAA2,leukocytes,,,,"IRF4 IP, IRF4 IP - GM12878 cells"
E2F1,ACAA2,uterus,,,,"E2F1 IP - HeLa cells, Rep 1, E2F1 IP - HeLa cells, Rep 2"
STAT1,ACAA2,uterus,,,,"STAT1 IP | IFNG - HeLa cells, 30 min"
IFNG,ACAA2,uterus,,,,"STAT1 IP | IFNG - HeLa cells, 30 min"
JUN,ACAA2,mammarygland,,,,"JUN IP - Rep 1, JUN IP - Rep 2"
CEBPB,ACAA2,stemcells,,,,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP"
IRF1,ACAA2,leukocytes,,,,"IRF1 IP | IFNG - K562 cells, 6 h"
IFNG,ACAA2,leukocytes,,,,"IRF1 IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 5, STAT1 IP - Rep 1, STAT1 IP - Rep 2, STAT1 IP - Rep 4, STAT1 IP - Rep 3"
GABPA,ACAA2,liver,,,,GABPA IP - HepG2 cells
YY1,ACAA2,colon,,,,YY1 IP - HCT116 cells
USF1,ACAA2,colon,,,,USF1 IP - HCT116 cells
BCL11A,ACAA2,leukocytes,,,,BCL11A IP - GM12878 cells
STAT3,ACAA2,mammarygland,,,,"STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP - MCF10A cells, Rep 2, STAT3 IP - MCF10A cells, Rep 1, STAT3 IP | 4HT - MCF10 cells, 36 h"
4HT,ACAA2,mammarygland,,,,"STAT3 IP | 4HT - MCF10 cells, 12 h, E2F4 IP | 4HT - MCF10 cells, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h, STAT3 IP | 4HT - MCF10 cells, 36 h"
RELA,ACAA2,adiposetissue,,,,"RELA IP, RELA IP"
TBP,ACAA2,stemcells,,,,TBP IP - H1 cells
MAX,ACAA2,leukocytes,,,,"MAX IP - NB4 cells, MAX IP - K562 cells, MAX IP - K562 cells, Rep 2"
TCF7L2,ACAA2,uterus,,,,TCF7L2 IP - HeLa cells
JUND,ACAA2,uterus,,,,JUND IP - HeLa cells
GABPA,ACAA2,cns,,,,GABPA IP - SK-N-SH cells
UBTF,ACAA2,leukocytes,,,,UBTF IP - K562 cells
YY1,ACAA2,cns,,,,"YY1 IP - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
SRF,ACAA2,leukocytes,,,,"SRF IP - SK-N-SH cells, SRF IP - GM12878 cells, Rep 2"
GTF2B,ACAA2,uterus,,,,GTF2B IP - Rep 2
17BE2,ACAA2,mammarygland,,,,"17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 1"
CREB1,ACAA2,liver,,,,"CREB1 IP - HepG2 cells, CREB1 IP"
EGR1,ACAA2,colon,,,,EGR1 IP - HCT116 cells
ERG,ACAA2,prostate,,,,ERG ChIP-Seq
STAT1,ACAA2,leukocytes,,,,"STAT1 IP - Rep 5, STAT1 IP - Rep 1, STAT1 IP - Rep 2, STAT1 IP - Rep 4, STAT1 IP - Rep 3"
REST,ACAA2,liver,,,,"REST IP - HepG2 cells, Rep 1"
