TargetGene,TF,Library/PMID,Tissue,PAPER LINKS
SACM1L,TFEB,30145926,Kidney,https://pubmed.ncbi.nlm.nih.gov/30145926/
PTEN, SALL4,19440552,Bone Marrow,http://www.ncbi.nlm.nih.gov/pubmed/19440552
PTEN,KDM5A,31374292,"Bone Marrow, Blood, Leukocytes",http://www.ncbi.nlm.nih.gov/pubmed/31374292
PTEN,TET1,27121319,Stomach,http://www.ncbi.nlm.nih.gov/pubmed/27121319
PTEN,KDM5C,30921702,Prostate,http://www.ncbi.nlm.nih.gov/pubmed/30921702
PTEN,BMI1,19884659,Lung,http://www.ncbi.nlm.nih.gov/pubmed/19884659
