TF,Overlapping_Genes,Pubmed_ID,Pubmed_Link,Genes mentioned in the paper,Tissue,Paper Link
WT1,"SGMS1,SGMS2",25993318,https://pubmed.ncbi.nlm.nih.gov/25993318/,not found,Kidney,https://www.kidney-international.org/article/S2157-1716(15)32169-9/fulltext
PPARD,"SPTLC1,SGMS1",21283829,https://pubmed.ncbi.nlm.nih.gov/21283829/,"SPTLC1,SGMS1",Fibroblasts,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016344#s4
BACH1,SPTLC2,22875853,https://pubmed.ncbi.nlm.nih.gov/22875853/,SPTLC2,Mammary Gland,https://www.jbc.org/article/S0021-9258(20)62856-3/fulltext
SALL4,SGMS1,22934838,https://pubmed.ncbi.nlm.nih.gov/22934838/,SGMS1,Bone Marrow,https://onlinelibrary.wiley.com/doi/10.1111/j.1537-2995.2012.03888.x
FOXP1,"SPTLC1,KDSR",21924763,https://pubmed.ncbi.nlm.nih.gov/21924763/,"SPTLC1,KDSR",Embryonic tissue,https://www.cell.com/cell/fulltext/S0092-8674(11)00949-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867411009494%3Fshowall%3Dtrue
ZNF217,SGMS1,24962896,https://pubmed.ncbi.nlm.nih.gov/24962896/,SGMS1,Mammary Gland,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-15-520#Sec25
ETS1,SPTLC1,20019798,https://pubmed.ncbi.nlm.nih.gov/20019798/,SPTLC1,Thymus,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000778
DACH1,SGMS1,20351289,https://pubmed.ncbi.nlm.nih.gov/20351289/,SGMS1,Mammary Gland,https://www.pnas.org/doi/full/10.1073/pnas.1002746107#supplementary-materials
KLF5,DEGS1,25053715,https://pubmed.ncbi.nlm.nih.gov/25053715/,not found,,paid https://gut.bmj.com/content/64/5/707
FOXA1,KDSR,25329375,https://pubmed.ncbi.nlm.nih.gov/25329375/,not found,Prostate,https://academic.oup.com/mend/article/28/12/2012/2623249?login=false
BCL6,DEGS1,25482012,https://pubmed.ncbi.nlm.nih.gov/25482012/,not found,,paid https://www.sciencedirect.com/science/article/abs/pii/S1874939914002958?via%3Dihub
TCF21,SGMS1,26020271,https://pubmed.ncbi.nlm.nih.gov/26020271/,not found,Heart,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005202#sec024
GATA6,DEGS1,25053715,https://pubmed.ncbi.nlm.nih.gov/25053715/,not found,,paid https://gut.bmj.com/content/64/5/707
ATF3,SGMS2,23680149,https://pubmed.ncbi.nlm.nih.gov/23680149/,SGMS2,CNS,https://www.cell.com/cancer-cell/fulltext/S1535-6108(13)00133-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1535610813001335%3Fshowall%3Dtrue
PBX1,SPTLC2,22567123,https://pubmed.ncbi.nlm.nih.gov/22567123/,SPTLC2,Ovary,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0036054#s5
MITF,"SGMS1,SPTLC3",21258399,https://pubmed.ncbi.nlm.nih.gov/21258399/,"SGMS1,SPTLC3",Skin,https://www.nature.com/articles/onc2010612#Sec15
FLI1,"SPTLC1,SGMS1",21571218,https://pubmed.ncbi.nlm.nih.gov/21571218/,not found,Blood,https://www.cell.com/developmental-cell/fulltext/S1534-5807(11)00159-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1534580711001596%3Fshowall%3Dtrue
CUX1,SGMS2,19635798,https://pubmed.ncbi.nlm.nih.gov/19635798/,not found,Mammary Gland,https://www.jbc.org/article/S0021-9258(20)38439-8/fulltext
HNF4A,"SGMS1,SPTLC3",19822575,https://pubmed.ncbi.nlm.nih.gov/19822575/,"SGMS1,SPTLC3",Liver,https://academic.oup.com/nar/article/37/22/7498/2410146?login=false#supplementary-data
RUNX1,SGMS1,21571218,https://pubmed.ncbi.nlm.nih.gov/21571218/,SGMS1,Bone Marrow,https://www.cell.com/developmental-cell/fulltext/S1534-5807(11)00159-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1534580711001596%3Fshowall%3Dtrue
