TF,Overlapping Genes,Genes mentioned in the paper,Pubmed_ID,Pubmed_Link,Tissue
PBX1,"ACSS2,ACSL5","ACSS2, ACSL5",22567123,https:www.ncbi.nlm.nih.govpmcarticlesPMC3342315pdfpone.0036054.pdf,Ovary
YY1,FASN,FASN,22570637,https:www.ncbi.nlm.nih.govpmcarticlesPMC3342948pdfpgen.1002688.pdf,Skin
ELF5,ELOVL5,ELOVL5,23300383,https:www.ncbi.nlm.nih.govpmcarticlesPMC3531499pdfpbio.1001461.pdf,Mammary Gland
SMAD4,"ELOVL5, SOAT1",not found,21799915,https:www.ncbi.nlm.nih.govpmcarticlesPMC3143154pdfpone.0022606.pdf,Ovary
BACH1,"ELOVL2
",ELOVL2 ,22875853,https:www.ncbi.nlm.nih.govpmcarticlesPMC3460454pdfzbc33533.pdf,Uterus
E2F4,"ELOVL1,SOAT1","ELOVL5, SOAT1",21247883,https:www.ncbi.nlm.nih.govpmcarticlesPMC3089461pdfgkq1313.pdf,Leukocytes
JUND,ELOVL5,not found,26020271,https:www.ncbi.nlm.nih.govpmcarticlesPMC4447360pdfpgen.1005202.pdf,skeletal muscle
BCL6,ACSS2,not found,25482012,https:pubmed.ncbi.nlm.nih.gov25482012,Bone Marrow
RUNX2,SOAT1,SOAT1,22187159,https:www.ncbi.nlm.nih.govpmcarticlesPMC3333873pdfgkr1219.pdf,Bone
ST8T3,"ACSS2,ELOVL5,HSD17B3,MCAT,ACACA,SLC25A20",not found,23295773,https:www.ncbi.nlm.nih.govpmcarticlesPMC3333873pdfgkr1219.pdf,Brain
