TargetGene,TF,Library/PMID,Tissue,Pubmed Links
UGCG,SP1,15342415,Leukocytes,https://pubmed.ncbi.nlm.nih.gov/15342415/
FUT1,CDX2,22547830,Colon,https://pubmed.ncbi.nlm.nih.gov/22547830/
B4GALT5,SP1,15263012; 16873896,CNS,"https://pubmed.ncbi.nlm.nih.gov/15263012/,https://pubmed.ncbi.nlm.nih.gov/16873896/"
ST3GAL5,ATF2,21699754,Sensory,https://pubmed.ncbi.nlm.nih.gov/21699754/
ST3GAL3,MYC,22547830,Colon ,https://pubmed.ncbi.nlm.nih.gov/22547830/
