TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
CTCF,A4GALT,leukocytes,"CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP, CTCF IP - GM12873 cells, Rep 3 , CTCF IP -  CD20+ cells ",,,
GATA1,A4GALT,hspcs,"GATA1 IP - Rep 2, GATA1 IP - PBDE cells, Rep 1, GATA1 IP - Rep 1, GATA1 IP - Rep 3",,,
TCF3,A4GALT,leukocytes,TCF3 IP - GM12878 cells,,,
IRF1,A4GALT,pancreas,IRF1 IP,,,
TCF21,A4GALT,vasculature,"TCF21 IP, TCF21 IP",,,
CTCF,A4GALT,vasculature,"CTCF IP - HPAF cells, Rep 1 , CTCF IP - AoAFC cells, Rep 1 , CTCF IP - HBMEC cells, Rep 1 ",,,
DEX,A4GALT,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2",,,
FOXA1,A4GALT,pancreas,"FOXA1 IP | KLF5 KO, FOXA1 IP, FOXA1 IP",,,
FOXA2,A4GALT,stemcells,"FOXA2 IP - ES D5, FOXA2 IP - ES D10",,,
DHT,A4GALT,mammarygland,DHT | FOXA1 ChIP-Seq,,,
FOSL1,A4GALT,mammarygland,FOSL1 IP,,,
ELF1,A4GALT,leukocytes,ELF1 IP - SK-N-SH cells,,,
NFKB2,A4GALT,leukocytes,"NFKB2 IP - Rep 2, NFKB2 IP - Rep 1",,,
ZNF384,A4GALT,leukocytes,ZNF384 IP - GM12878 cells,,,
GATA4,A4GALT,stomach,GATA4 IP - AGS,,,
PAX5,A4GALT,leukocytes,"PAX5 IP - GM12892 cells, PAX5 IP - GM12878 cells, Rep 1, PAX5 IP - GM12891 cells, PAX5 IP - GM12878 cells, Rep 2",,,
FOXA1,A4GALT,lung,"FOXA1 IP - A549 cells, FOXA1 IP | DEX - A549 cells",,,
TCF12,A4GALT,uterus,TCF12 IP - ECC1 cells,,,
TEAD4,A4GALT,stemcells,TEAD4 IP - H1 cells,,,
EGR1,A4GALT,leukocytes,EGR1 IP - K562 cells,,,
TEAD4,A4GALT,lung,TEAD4 IP - A549 cells,,,
17BE2; TNF,A4GALT,mammarygland,17BE2 + TNF | FOXA1 ChIP-Seq - Rep 2,,,
MAZ,A4GALT,leukocytes,MAZ IP - GM12878 cells,,,
JUND,A4GALT,vasculature,JUND IP,,,
MAX,A4GALT,leukocytes,MAX IP - GM12878 cells,,,
CTCF,A4GALT,placenta,"CTCF IP - HVMF cells, Rep 2 ",,,
STAT3,A4GALT,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP - MCF10A cells, Rep 2",,,
4HT,A4GALT,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 36 h",,,
CREB1,A4GALT,leukocytes,CREB1 IP - GM12878 cells,,,
SP1,A4GALT,leukocytes,SP1 IP - GM12878 cells,,,
EBF1,A4GALT,leukocytes,"EBF1 IP - GM12878 cells, EBF1 IP - GM12878 cells",,,
ZNF263,A4GALT,kidney,ZNF263 IP - HEK293 cells,,,
USF2,A4GALT,leukocytes,USF2 IP - GM12878 cells,,,
GTF2B,A4GALT,uterus,GTF2B IP - Rep 2,,,
MAX,A4GALT,stemcells,MAX IP - H1 cells,,,
TP53,A4GALT,lung,"TP53 IP - propapoptic, Rep 1",,,
ZBTB7A,A4GALT,uterus,ZBTB7A IP - ECC1 cells,,,
FOXA1,A4GALT,prostate,"WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - ",,,
AR,A4GALT,prostate,WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq,,,
MXI1,A4GALT,leukocytes,MXI1 IP - GM12878 cells,,,
FOXA2,A4GALT,liver,FOXA2 IP - HepG2 cells,,,
CTCF,A4GALT,kidney,"CTCF IP - RPTEC cells, Rep 1 ",,,
TCF12,A4GALT,leukocytes,TCF12 IP - GM12878 cells,,,
TCF12,A4GALT,liver,TCF12 IP - MCF7 cells,,,
DEX,A4GALT,lung,FOXA1 IP | DEX - A549 cells,,,
IRF4,A4GALT,leukocytes,"IRF4 IP - GM12878 cells, IRF4 IP",,,
TEAD4,A4GALT,leukocytes,TEAD4 IP - K562 cells,,,
TCF7L2,A4GALT,uterus,TCF7L2 IP - HeLa cells,,,
CEBPA,A4GALT,leukocytes,CEBPA IP,,,
TP53,A4GALT,mammarygland,"TP53 IP, TP53 IP | NUTL3 - MCF-7",,,
USF1,A4GALT,leukocytes,USF1 IP - GM12878 cells,,,
JUN,A4GALT,vasculature,JUN IP - HUVEC cells,,,
CTCF,A4GALT,lung,"CTCF IP - SAEC cells, Rep 2 ",,,
UBTF,A4GALT,leukocytes,UBTF IP - K562 cells,,,
IKZF1,A4GALT,leukocytes,IKZF1 IP - GM12878 cells,,,
GATA6,A4GALT,stomach,GATA6 IP - AGS,,,
YY1,A4GALT,leukocytes,YY1 IP - GM12878 cells,,,
FOXA2,A4GALT,embryonictissue,FOXA2 IP - Rep 2,,,
STAT1,A4GALT,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min",,,
IFNG,A4GALT,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min",,,
FOXA2,A4GALT,lung,FOXA2 IP - A549 cells,,,
TBP,A4GALT,stemcells,TBP IP - H1 cells,,,
CTCF,A4GALT,esophagus,"CTCF IP - HEEpiC cells, Rep 1 ",,,
TAL1,A4GALT,leukocytes,"TAL1 IP - K562 cells, TAL1 IP - MOLT3",,,
FOS,A4GALT,vasculature,FOS IP - HUVEC cells,,,
TEAD4,A4GALT,uterus,TEAD4 IP - ECC1 cells,,,
BHLHE40,A4GALT,leukocytes,BHLHE40 IP - GM12878 cells,,,
BCL11A,A4GALT,leukocytes,BCL11A IP - GM12878 cells,,,
