Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
53,53,53,SPP,FOSL1,ELOVL5,colon,FOSL1 IP - HCT116 cells
54,54,54,SPP,NFYB,ELOVL5,uterus,NFYB IP - HeLa cells
55,55,55,SPP,MXI1,ELOVL5,liver,MXI1 IP - HepG2 cells
56,56,56,SPP,MAZ,ELOVL5,lung,MAZ IP - IMR cells
57,57,57,SPP,JUND,ELOVL5,stemcells,JUND IP - H1 cells
58,58,58,SPP,CTCF,ELOVL5,cns,"CTCF IP - SK-N-SH cells, Rep 2 "
59,59,59,SPP,ETS1,ELOVL5,leukocytes,"ETS1 IP - K562 cells, ETS1 IP"
60,60,60,SPP,NFYB,ELOVL5,leukocytes,"NFYB IP - GM12878 cells, NFYB IP - K562 cells"
61,61,61,SPP,IRF1,ELOVL5,leukocytes,"IRF1 IP | IFNA1-13 - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h"
62,62,62,SPP,FOXA2,ELOVL5,liver,FOXA2 IP - HepG2 cells
63,63,63,SPP,SREBF1,ELOVL5,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
64,64,64,SPP,22RHC; INS,ELOVL5,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
65,65,65,SPP,FOXM1,ELOVL5,mammarygland,FOXM1 IP | THSP - DS006
66,66,66,SPP,PIAS1,ELOVL5,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1"
67,67,67,SPP,HMGN3,ELOVL5,leukocytes,HMGN3 IP - K562 cells
68,68,68,SPP,E2F6,ELOVL5,lung,E2F6 IP - A549 cells
69,69,69,SPP,MAX,ELOVL5,liver,"MAX IP - HepG2 cells, MAX IP - HepG2 cells, MAX IP - MCF7 cells"
70,70,70,SPP,GABPA,ELOVL5,uterus,GABPA IP - HeLa cells
71,71,71,SPP,17BE2,ELOVL5,mammarygland,"17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1"
72,72,72,SPP,HOXA6,ELOVL5,colon,HOXA6 IP 
73,73,73,SPP,JUND,ELOVL5,uterus,JUND IP - HeLa cells
74,74,74,SPP,CREB1,ELOVL5,leukocytes,"CREB1 IP - K562 cells, CREB1 IP, CREB1 IP - GM12878 cells, CREB1 IP"
75,75,75,SPP,FOXA1,ELOVL5,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
76,76,76,SPP,FOXP1,ELOVL5,prostate,DHT | FOXP1 ChIP-Seq
77,77,77,SPP,DHT,ELOVL5,prostate,"DHT | FOXP1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h"
78,78,78,SPP,NFYA,ELOVL5,leukocytes,NFYA IP - K562 cells
79,79,79,SPP,ATF2,ELOVL5,leukocytes,ATF2 IP - GM12878 cells
80,80,80,SPP,CEBPA,ELOVL5,leukocytes,CEBPA IP
81,81,81,SPP,SP1,ELOVL5,colon,SP1 IP - HCT116 cells
82,82,82,SPP,RUNX1T1,ELOVL5,leukocytes,RUNX1T1 IP
83,83,83,SPP,EGR1,ELOVL5,colon,EGR1 IP - HCT116 cells
84,84,84,SPP,BACH1,ELOVL5,stemcells,BACH1 IP - H1 cells
85,85,85,SPP,E2F1,ELOVL5,uterus,"E2F1 IP - HeLa cells, Rep 1, E2F1 IP - HeLa cells, Rep 2"
86,86,86,SPP,ZNF384,ELOVL5,leukocytes,"ZNF384 IP - GM12878 cells, ZNF384 IP - K562 cells"
87,87,87,SPP,GABPA,ELOVL5,liver,"GABPA IP - MCF7 cells, GABPA IP - HepG2 cells"
