Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
124,124,124,SPP,RUNX1,HACD1,leukocytes,RUNX1 IP
125,125,125,SPP,JUND,HACD1,vasculature,JUND IP
126,126,126,SPP,GABPA,HACD1,liver,"GABPA IP - MCF7 cells, GABPA IP - HepG2 cells"
127,127,127,SPP,JUND,HACD1,uterus,JUND IP - HeLa cells
128,128,128,SPP,ATF1,HACD1,leukocytes,ATF1 IP - K562 cells
129,129,129,SPP,SP1,HACD1,colon,SP1 IP - HCT116 cells
130,130,130,SPP,CTCF,HACD1,bone,"CTCF IP - Osteoblasts , CTCF IP"
131,131,131,SPP,CTCF,HACD1,miscellaneous,"CTCF IP - AG09319 cells, Rep 2 , CTCF IP - AG09319 cells, Rep 1 "
132,132,132,SPP,PIAS1,HACD1,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1"
133,133,133,SPP,EGR1,HACD1,stemcells,EGR1 IP - H1 cells
134,134,134,SPP,FOSL1,HACD1,colon,FOSL1 IP - HCT116 cells
135,135,135,SPP,JUND,HACD1,stemcells,JUND IP - H1 cells
136,136,136,SPP,REST,HACD1,cns,"REST IP - U87 cells, REST IP - SK cells"
137,137,137,SPP,GATA2,HACD1,hspcs,GATA2 IP
138,138,138,SPP,ZNF384,HACD1,leukocytes,ZNF384 IP - K562 cells
139,139,139,SPP,IFNA1,HACD1,leukocytes,"IRF1 IP | IFNA1-13 - K562 cells, 6 h"
140,140,140,SPP,REST,HACD1,lung,REST IP - A549 cells
141,141,141,SPP,ROSI,HACD1,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
142,142,142,SPP,GABPA,HACD1,cns,GABPA IP - SK-N-SH cells
143,143,143,SPP,GATA2,HACD1,leukocytes,GATA2 IP - K562 cells
144,144,144,SPP,CTCF,HACD1,pancreas,CTCF IP
145,145,145,SPP,YY1,HACD1,stemcells,YY1 IP - H1 cells
146,146,146,SPP,MXI1,HACD1,cns,MXI1 IP - SK-N-SH cells 
147,147,147,SPP,FOXA2,HACD1,liver,FOXA2 IP - HepG2 cells
148,148,148,SPP,JUND,HACD1,colon,JUND IP - HCT116 cells
149,149,149,SPP,USF1,HACD1,cns,USF1 IP | ATRA - SK-N-SH cells
150,150,150,SPP,GATA3,HACD1,cns,GATA3 IP - SK-N-SH cells
