Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
132,132,132,SPP,GATA2,TECR,prostate,"FOXA1 KD | GATA2 ChIP-Seq, GATA2 ChIP-Seq - Rep 2, GATA2 ChIP-Seq, CON KD + R1881 | GATA2 ChIP-Seq"
133,133,133,SPP,MAX,TECR,lung,MAX IP - A549 cells
134,134,134,SPP,REST,TECR,liver,"REST IP - HepG2 cells, Rep 1"
135,135,135,SPP,GATA3,TECR,cns,"GATA3 IP - SK-N-SH cells, GATA3 IP - SHSY5Y cells"
136,136,136,SPP,CREB1,TECR,liver,"CREB1 IP, CREB1 IP, CREB1 IP - HepG2 cells"
137,137,137,SPP,YY1,TECR,cns,"YY1 IP - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
138,138,138,SPP,USF1,TECR,leukocytes,"USF1 IP - GM12878 cells, USF1 IP - K562 cells"
139,139,139,SPP,MAX,TECR,uterus,"MAX IP - HeLa cells, Rep 1, MAX IP - ECC1 cells"
140,140,140,SPP,NFYA,TECR,colon,NFYA IP 
141,141,141,SPP,E2F6,TECR,leukocytes,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
142,142,142,SPP,FOS,TECR,vasculature,FOS IP - HUVEC cells
143,143,143,SPP,MXI1,TECR,cns,MXI1 IP - SK-N-SH cells 
144,144,144,SPP,TAL1,TECR,colon,TAL1 IP 
145,145,145,SPP,TCF12,TECR,leukocytes,TCF12 IP - GM12878 cells
146,146,146,SPP,TCF12,TECR,lung,TCF12 IP - A549 cells
147,147,147,SPP,KLF5,TECR,pancreas,"FOXA1 IP | KLF5 KO, KLF5 IP, ELF3 IP | KLF5 KO"
148,148,148,SPP,NFYA,TECR,leukocytes,NFYA IP - K562 cells
149,149,149,SPP,SP1,TECR,leukocytes,"SP1 IP - K562 cells, SP1 IP - GM12878 cells"
150,150,150,SPP,GATA4,TECR,stomach,GATA4 IP - AGS
151,151,151,SPP,ZKSCAN1,TECR,uterus,ZKSCAN1 IP - HeLa cells
152,152,152,SPP,TP53,TECR,colon,TP53 IP | CAMPTO
153,153,153,SPP,CAMPTO,TECR,colon,TP53 IP | CAMPTO
154,154,154,SPP,SRF,TECR,colon,SRF IP - HCT116 cells
155,155,155,SPP,BAY082,TECR,leukocytes,"RELA IP | BAY082  - IVD Th1 cells, PIA"
156,156,156,SPP,FOXA1,TECR,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
157,157,157,SPP,TP63,TECR,lung,TP63 IP - HCC95
158,158,158,SPP,JUND,TECR,vasculature,JUND IP
159,159,159,SPP,MAFF,TECR,liver,MAFF IP - HepG2 cells
160,160,160,SPP,SP1,TECR,lung,SP1 IP - A549 cells
161,161,161,SPP,USF1,TECR,uterus,USF1 IP - ECC1 cells
162,162,162,SPP,GATA3,TECR,mammarygland,GATA3 IP - MCF7 cells
163,163,163,SPP,USF2,TECR,leukocytes,USF2 IP - GM12878 cells
164,164,164,SPP,MYC,TECR,mammarygland,"DHT | MYC ChIP-Seq, MYC IP | 4HT - MCF10A cells, MYC IP - MCF-10A cells"
165,165,165,SPP,ZNF384,TECR,leukocytes,ZNF384 IP - K562 cells
166,166,166,SPP,MXI1,TECR,lung,MXI1 IP - IMR cells
167,167,167,SPP,CPDA,TECR,mammarygland,JUN IP | CPDA
168,168,168,SPP,REST,TECR,stemcells,"REST IP - H1 cells, Rep 1"
169,169,169,SPP,TCF12,TECR,cns,TCF12 IP - SK-N-SH cells
170,170,170,SPP,FOXA2,TECR,stemcells,"FOXA2 IP - ES D5, FOXA2 IP - ES D7"
171,171,171,SPP,CEBPB,TECR,uterus,"CEBPB ChIP-Seq - HeLaS3, CEBPB IP - ECC1 cells"
172,172,172,SPP,TCF12,TECR,uterus,TCF12 IP - ECC1 cells
173,173,173,SPP,GLI2,TECR,colon,GLI2 IP 
174,174,174,SPP,CTCF,TECR,erythroidlineage,"CTCF IP - Erythroid cells, Rep 2"
175,175,175,SPP,NFYA,TECR,uterus,NFYA IP - HeLa cells
176,176,176,SPP,GATA3,TECR,lung,GATA3 IP - A549 cells
177,177,177,SPP,REST,TECR,lung,REST IP - A549 cells
178,178,178,SPP,TEAD4,TECR,mammarygland,TEAD4 IP - Rep 1
179,179,179,SPP,E2F4,TECR,uterus,E2F4 IP - HeLa cells
180,180,180,SPP,STAT1,TECR,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min"
181,181,181,SPP,IFNG,TECR,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min"
182,182,182,SPP,TBP,TECR,stemcells,TBP IP - H1 cells
183,183,183,SPP,MAX,TECR,cns,MAX IP - SK-N-SH cells
184,184,184,SPP,SREBF1,TECR,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
185,185,185,SPP,22RHC; INS,TECR,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
186,186,186,SPP,PBX3,TECR,leukocytes,PBX3 IP - GM12878 cells
187,187,187,SPP,EBF1,TECR,adiposetissue,"EBF1 IP, EBF1 IP"
188,188,188,SPP,IRF1,TECR,colon,IRF1 IP 
189,189,189,SPP,FOSL1,TECR,leukocytes,FOSL1 IP - K562 cells
190,190,190,SPP,TFAP4,TECR,leukocytes,TFAP4 IP - Rep 2
191,191,191,SPP,TEAD4,TECR,leukocytes,TEAD4 IP - K562 cells
192,192,192,SPP,MXI1,TECR,stemcells,MXI1 IP - H1 cells
193,193,193,SPP,USF1,TECR,liver,USF1 IP - HepG2 cells
194,194,194,SPP,IFNA1,TECR,leukocytes,"IRF1 IP | IFNA1-13 - K562 cells, 6 h"
195,195,195,SPP,MAFK,TECR,lung,MAFK IP - IMR cells
196,196,196,SPP,CREB1,TECR,lung,CREB1 IP | DEX - A549 cells
197,197,197,SPP,HMGN3,TECR,leukocytes,HMGN3 IP - K562 cells
198,198,198,SPP,REST,TECR,pancreas,"REST IP - Panc1 cells, Rep 3"
199,199,199,SPP,IRF1,TECR,pancreas,IRF1 IP
200,200,200,SPP,FOSL1,TECR,mammarygland,FOSL1 IP
201,201,201,SPP,E2F1,TECR,mammarygland,"E2F1 IP - MCF7 cells, E2F1 IP"
202,202,202,SPP,GMEB2,TECR,colon,GMEB2 IP 
203,203,203,SPP,SRF,TECR,uterus,SRF IP - ECC1 cells
204,204,204,SPP,TEAD4,TECR,cns,TEAD4 IP - SK-N-SH cells
205,205,205,SPP,SRF,TECR,mammarygland,SRF IP - MCF7 cells
206,206,206,SPP,ZBTB7A,TECR,leukocytes,ZBTB7A IP - SK-N-SH cells
207,207,207,SPP,EGR1,TECR,stemcells,EGR1 IP - H1 cells
208,208,208,SPP,MAZ,TECR,lung,MAZ IP - IMR cells
209,209,209,SPP,TBP,TECR,liver,TBP IP - HepG2 cells
210,210,210,SPP,STAT1,TECR,leukocytes,"STAT1 IP - Rep 5, STAT1 IP - Rep 2, STAT1 IP - Rep 1, STAT1 IP - Rep 3"
211,211,211,SPP,ROSI,TECR,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
212,212,212,SPP,MAZ,TECR,leukocytes,"MAZ IP - K562 cells, MAZ IP - GM12878 cells"
213,213,213,SPP,ZBTB7A,TECR,liver,ZBTB7A IP - HepG2 cells
214,214,214,SPP,SOX9,TECR,colon,SOX9 IP 
215,215,215,SPP,IRF4,TECR,leukocytes,IRF4 IP
216,216,216,SPP,BARX1,TECR,colon,BARX1 IP - Rep 1 
217,217,217,SPP,TBP,TECR,uterus,TBP IP - HeLa cells
218,218,218,SPP,PAX5,TECR,leukocytes,"PAX5 IP - GM12878 cells, Rep 2"
219,219,219,SPP,RELA,TECR,colon,RELA IP 
220,220,220,SPP,CUX1,TECR,leukocytes,CUX1 IP - K562 cells
221,221,221,SPP,GATA2,TECR,hspcs,GATA2 IP
222,222,222,SPP,REST,TECR,colon,"REST IP , REST IP - HCT116 cells"
223,223,223,SPP,MAX,TECR,colon,MAX IP - HCT116 cells
224,224,224,SPP,TP53,TECR,mammarygland,"TP53 IP, TP53 IP | NUTL3 - MCF-7"
225,225,225,SPP,JUN,TECR,liver,JUN IP - HepG2 cells
226,226,226,SPP,BANF1,TECR,skin,TP63 IP | BANF1 KD
227,227,227,SPP,MTA3,TECR,leukocytes,MTA3 IP - GM12878 cells
228,228,228,SPP,E2F3,TECR,colon,E2F3 IP 
229,229,229,SPP,TAL1,TECR,leukocytes,TAL1 IP - K562 cells
230,230,230,SPP,CREB1,TECR,uterus,CREB1 IP - ECC1 cells
231,231,231,SPP,ELF1,TECR,liver,ELF1 IP - HepG2 cells
232,232,232,SPP,YY1,TECR,lung,YY1 IP - A549 cells
233,233,233,SPP,FORSK,TECR,liver,CEBPB IP | FORSK - HepG2 cells
234,234,234,SPP,EGR1,TECR,colon,EGR1 IP - HCT116 cells
235,235,235,SPP,CEBPA,TECR,leukocytes,CEBPA IP
236,236,236,SPP,MYC,TECR,uterus,MYC IP - HeLa cells
237,237,237,SPP,GABPA,TECR,liver,GABPA IP - HepG2 cells
238,238,238,SPP,FOXA2,TECR,liver,FOXA2 IP - HepG2 cells
239,239,239,SPP,JUND,TECR,lung,JUND IP - A549 cells
240,240,240,SPP,ATF1,TECR,leukocytes,ATF1 IP - K562 cells
241,241,241,SPP,RUNX1,TECR,hspcs,RUNX1
242,242,242,SPP,SP1,TECR,colon,SP1 IP - HCT116 cells
243,243,243,SPP,MXI1,TECR,liver,MXI1 IP - HepG2 cells
244,244,244,SPP,CREB1,TECR,colon,CREB1 IP 
245,245,245,SPP,SP1,TECR,liver,SP1 IP - HepG2 cells
246,246,246,SPP,FOXP2,TECR,cns,FOXP2 IP - PFSK-1 cells
247,247,247,SPP,DEX,TECR,mammarygland,JUN IP | DEX
248,248,248,SPP,ETV5,TECR,colon,ETV5 IP 
249,249,249,SPP,ELF1,TECR,colon,ELF1 IP - HCT116 cells
250,250,250,SPP,FOSL2,TECR,cns,FOSL2 IP - SK-N-SH cells
251,251,251,SPP,MYBL2,TECR,liver,MYBL2 IP - HepG2 cells
252,252,252,SPP,E2F6,TECR,stemcells,E2F6 IP - H1 cells
253,253,253,SPP,GATA2,TECR,vasculature,GATA2 IP - HUVEC cells
254,254,254,SPP,E2F6,TECR,lung,E2F6 IP - A549 cells
255,255,255,SPP,JUN,TECR,colon,JUN IP 
256,256,256,SPP,MAZ,TECR,uterus,MAZ IP - HeLa cells
257,257,257,SPP,R1881,TECR,prostate,CON KD + R1881 | GATA2 ChIP-Seq
258,258,258,SPP,SP2,TECR,leukocytes,SP2 IP - K562 cells
259,259,259,SPP,TP63,TECR,thyroidgland,TP63 IP - TT MTC
