Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
56,56,56,SPP,BACH1,SCD,stemcells,BACH1 IP - H1 cells
57,57,57,SPP,SPI1,SCD,leukocytes,"SPI1 IP - GM12878 cells, SPI1 IP - GM12878 cells, Rep 5 , SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - HL cells, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 1 , SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP - GM12891 cells, SPI1 IP, SPI1 IP"
58,58,58,SPP,GTF2F1,SCD,uterus,GTF2F1 IP - HeLa cells
59,59,59,SPP,CTCF,SCD,skeletalmuscle,"CTCF IP - HSMM cells, Rep 2 , CTCF IP - HSMM cells, Rep 1 "
60,60,60,SPP,REST,SCD,uterus,"REST IP - ECC1 cells, REST IP - SK-N-SH cells"
61,61,61,SPP,CTCF,SCD,liver,"CTCF IP - HepG2 cells, Rep 2 , CTCF IP - HepG2 cells, Rep 1 , CTCF IP - SK-N-SH cells, CTCF IP, CTCF IP - HepG2 cells "
62,62,62,SPP,TEAD4,SCD,uterus,TEAD4 IP - ECC1 cells
63,63,63,SPP,DEX,SCD,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2"
64,64,64,SPP,ZBTB7A,SCD,uterus,ZBTB7A IP - ECC1 cells
65,65,65,SPP,NFYB,SCD,uterus,NFYB IP - HeLa cells
66,66,66,SPP,MYC,SCD,liver,MYC IP
67,67,67,SPP,CTCF,SCD,kidney,"CTCF IP - RPTEC cells, Rep 2 , CTCF IP - HRE cells, Rep 1 , CTCF IP - HRE cells, Rep 2 , CTCF IP - RPTEC cells, Rep 1 , CTCF IP - HEK293 cells, Rep 2 , CTCF IP - HEK293 cells, Rep 1 "
68,68,68,SPP,MTA3,SCD,leukocytes,MTA3 IP - GM12878 cells
69,69,69,SPP,REST,SCD,cns,"REST IP - SK-N-SH cells, REST IP - PFSK1 cells, Rep 2, REST IP - SK cells, REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - U87 cells"
70,70,70,SPP,E2F3,SCD,colon,E2F3 IP 
71,71,71,SPP,AR,SCD,prostate,AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq
72,72,72,SPP,ERG,SCD,prostate,"DMSO | ERG ChIP-Seq - Rep 1, DHT | ERG ChIP-Seq - 18 h, ERG ChIP-Seq"
73,73,73,SPP,NFYB,SCD,leukocytes,"NFYB IP - GM12878 cells, NFYB IP - K562 cells"
74,74,74,SPP,MYC,SCD,leukocytes,"MYC IP - K562 cells, Rep 1, MYC IP - NB4 cells, MYC IP | IFNA1 - K562 cells, 30 min, MYC IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min, MYC IP - K562 cells, Rep 2"
75,75,75,SPP,MAX,SCD,liver,"MAX IP - HepG2 cells, MAX IP - MCF7 cells"
76,76,76,SPP,SRF,SCD,stemcells,"SRF IP - Rep 6 , SRF IP - Rep 1 , SRF IP - H1 cells, SRF IP - Rep 2 , SRF IP - Rep 4 , SRF IP - Rep 7 "
77,77,77,SPP,MXI1,SCD,liver,MXI1 IP - HepG2 cells
78,78,78,SPP,REST,SCD,pancreas,"REST IP - PANC1 cells, Rep 1, REST IP - Panc1 cells, Rep 3, REST IP - PANC1 cells, Rep 2"
79,79,79,SPP,MYC,SCD,bone,MYC IP
80,80,80,SPP,STAT1,SCD,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min"
81,81,81,SPP,IFNG,SCD,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min"
82,82,82,SPP,CTCF,SCD,vasculature,"CTCF IP - AoAFC cells, Rep 1 , CTCF IP - HUVEC cells , CTCF IP - HBMEC cells, Rep 2 , CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HUVEC cells, Rep 1 , CTCF IP - HPAF cells, Rep 2 , CTCF IP - HUVEC cells, Rep 2 , CTCF IP - HPAF cells, Rep 1 , CTCF IP - AoAFC cells, Rep 2 "
83,83,83,SPP,CEBPB,SCD,mammarygland,CEBPB IP - MCF7 cells
84,84,84,SPP,CREB1,SCD,liver,"CREB1 IP - HepG2 cells, CREB1 IP, CREB1 IP"
85,85,85,SPP,POU2F2,SCD,leukocytes,"POU2F2 IP - Rep 2, POU2F2 IP - GM12878 cells"
86,86,86,SPP,CTCF,SCD,heart,"CTCF IP - myocytes cells, Rep 1 , CTCF IP - myocytes cells, Rep 2 , CTCF IP - HCF cells "
87,87,87,SPP,TCF12,SCD,uterus,TCF12 IP - ECC1 cells
88,88,88,SPP,TCF12,SCD,cns,TCF12 IP - SK-N-SH cells
89,89,89,SPP,ELF1,SCD,leukocytes,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
90,90,90,SPP,OTX2,SCD,stemcells,OTX2 IP - Rep 10 
91,91,91,SPP,E2F1,SCD,uterus,"E2F1 IP - HeLa cells, Rep 1, E2F1 IP - HeLa cells, Rep 2"
92,92,92,SPP,CEBPB,SCD,colon,"CEBPB IP - HCT116 cells, CEBPB IP | 125DVD3, CEBPB IP"
93,93,93,SPP,IRF1,SCD,leukocytes,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNA1-13 - K562 cells, 6 h"
94,94,94,SPP,IRF4,SCD,leukocytes,IRF4 IP
95,95,95,SPP,IFNA1,SCD,leukocytes,"MYC IP | IFNA1 - K562 cells, 30 min, IRF1 IP | IFNA1-13 - K562 cells, 6 h"
96,96,96,SPP,MAX,SCD,uterus,"MAX IP - ECC1 cells, MAX IP - HeLa cells, Rep 1, MAX IP - HeLa cells, Rep 2"
97,97,97,SPP,SMAD1,SCD,hspcs,SMAD1 IP - Rep 3
98,98,98,SPP,RELA,SCD,leukocytes,"RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM12891 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP - IVD Th1 cells, PIA"
99,99,99,SPP,TNF,SCD,leukocytes,"RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM12891 cells"
100,100,100,SPP,SRF,SCD,leukocytes,SRF IP - SK-N-SH cells
101,101,101,SPP,TCF7L2,SCD,pancreas,TCF7L2 IP
102,102,102,SPP,FOSL1,SCD,colon,FOSL1 IP - HCT116 cells
103,103,103,SPP,JUND,SCD,liver,JUND IP - HepG2 cells
104,104,104,SPP,MAZ,SCD,uterus,MAZ IP - HeLa cells
105,105,105,SPP,RUNX1,SCD,hspcs,RUNX1
106,106,106,SPP,SREBF1,SCD,liver,"SREBF1 IP | PRAV - HepG2 cells, SREBF1 IP | INS + 22RHC - HepG2 cells"
107,107,107,SPP,PRAV,SCD,liver,"SREBF1 IP | PRAV - HepG2 cells, SREBF2 IP | PRAV - HepG2 cells"
108,108,108,SPP,FOXM1,SCD,leukocytes,FOXM1 IP - GM12878 cells
109,109,109,SPP,MAFK,SCD,liver,"MAFK IP - HepG2 cells, Rep 1, MAFK IP - HepG2 cells, Rep 2"
110,110,110,SPP,TAL1,SCD,colon,TAL1 IP 
111,111,111,SPP,FOXA2,SCD,liver,FOXA2 IP - HepG2 cells
112,112,112,SPP,SP1,SCD,stemcells,SP1 IP - H1 cells
113,113,113,SPP,CREB1,SCD,leukocytes,CREB1 IP - GM12878 cells
114,114,114,SPP,REST,SCD,lung,REST IP - A549 cells
115,115,115,SPP,MXI1,SCD,leukocytes,"MXI1 IP - GM12878 cells, MXI1 IP - K562 cells"
116,116,116,SPP,KLF11,SCD,adiposetissue,"KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 1"
117,117,117,SPP,E2F6,SCD,leukocytes,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
118,118,118,SPP,FOXA1,SCD,lung,"FOXA1 IP | DEX - A549 cells, FOXA1 IP - A549 cells"
119,119,119,SPP,EBF1,SCD,leukocytes,"EBF1 IP - GM12878 cells, EBF1 IP - GM12878 cells"
120,120,120,SPP,USF1,SCD,uterus,USF1 IP - ECC1 cells
121,121,121,SPP,125DVD3,SCD,colon,CEBPB IP | 125DVD3
122,122,122,SPP,ZBTB7A,SCD,leukocytes,ZBTB7A IP - SK-N-SH cells
123,123,123,SPP,CTCF,SCD,hspcs,"CTCF IP - HSPCs, Rep 1, CTCF IP - HSPCs, Rep 2"
124,124,124,SPP,YY1,SCD,lung,YY1 IP - A549 cells
125,125,125,SPP,CTCF,SCD,megakaryocytelineage,"CTCF IP - MEG-01 cells, Rep 8 , CTCF IP - MEG-01 cells, Rep 6 , CTCF IP - CHRF-288-11 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 10 , CTCF IP - MEG-01 cells, Rep 4 "
126,126,126,SPP,GATA2,SCD,prostate,"GATA2 KD  | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq"
127,127,127,SPP,TNF,SCD,mammarygland,"TNF | FOXA1 ChIP-Seq - Rep 1, TNF | FOXA1 ChIP-Seq - Rep 2"
128,128,128,SPP,TP53,SCD,skin,"TP53 IP | NUTL3, TP53 IP"
129,129,129,SPP,ZNF143,SCD,stemcells,ZNF143 IP - H1 cells
130,130,130,SPP,ARNT,SCD,kidney,"ARNT IP, ARNT IP | HIF1A OE, ARNT IP | EPAS1 OE"
131,131,131,SPP,USF1,SCD,colon,USF1 IP - HCT116 cells
132,132,132,SPP,UBTF,SCD,leukocytes,UBTF IP - K562 cells
133,133,133,SPP,JUND,SCD,colon,JUND IP - HCT116 cells
134,134,134,SPP,HIF1A,SCD,bone,"HIF1A IP, HIF1A IP"
135,135,135,SPP,FOXP2,SCD,cns,FOXP2 IP - PFSK-1 cells
136,136,136,SPP,DHT,SCD,prostate,"DHT | FOXA1 ChIP-Seq - C4- Rep 2B, DHT | ERG ChIP-Seq - 18 h, DHT | FOXA1 ChIP-Seq, DHT | FOXP1 ChIP-Seq"
137,137,137,SPP,TEAD4,SCD,colon,TEAD4 IP - HCT116 cells
138,138,138,SPP,STAT5A,SCD,leukocytes,STAT5A IP - GM12878 cells
139,139,139,SPP,MAX,SCD,leukocytes,"MAX IP - NB4 cells, MAX IP - K562 cells, Rep 2, MAX IP - GM12878 cells, MAX IP - K562 cells"
140,140,140,SPP,CTCF,SCD,adiposetissue,"CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 0, CTCF ChIP-Seq - d 3"
141,141,141,SPP,FOS,SCD,leukocytes,"FOS IP - K562 cells, FOS IP - GM12878 cells"
142,142,142,SPP,E2F1,SCD,prostate,HES6 OE | E2F1 ChIP-Seq - Rep 1
143,143,143,SPP,HES6,SCD,prostate,HES6 OE | E2F1 ChIP-Seq - Rep 1
144,144,144,SPP,PRDM1,SCD,uterus,PRDM1 IP - HeLa cells
145,145,145,SPP,SP1,SCD,lung,SP1 IP - A549 cells
146,146,146,SPP,HIF1A,SCD,kidney,"HIF1A IP | HIF1A OE, ARNT IP | HIF1A OE"
147,147,147,SPP,CEBPB,SCD,lung,"CEBPB ChIP-Seq - IMR90, CEBPB IP - A549 cells"
148,148,148,SPP,REST,SCD,stemcells,"REST IP - H1 cells, Rep 2, REST IP - H1 cells, Rep 1"
149,149,149,SPP,FOXA1,SCD,uterus,FOXA1 IP - ECC1 cells
150,150,150,SPP,FOXA1,SCD,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
151,151,151,SPP,SREBF2,SCD,liver,SREBF2 IP | PRAV - HepG2 cells
152,152,152,SPP,MAFF,SCD,liver,MAFF IP - HepG2 cells
153,153,153,SPP,GLI2,SCD,colon,GLI2 IP 
