Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
199,199,199,SPP,STAT1,ACSS2,leukocytes,"STAT1 IP - Rep 5, STAT1 IP - Rep 1, STAT1 IP - Rep 2, STAT1 IP - Rep 4, STAT1 IP - Rep 3"
200,200,200,SPP,SMARCC2,ACSS2,uterus,SMARCC2 IP - HeLa cells
201,201,201,SPP,GATA4,ACSS2,stomach,"GATA4 IP - YCC3, GATA4 IP - AGS"
202,202,202,SPP,ROSI,ACSS2,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
203,203,203,SPP,FOS,ACSS2,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h"
204,204,204,SPP,CEBPB,ACSS2,mammarygland,CEBPB IP - MCF7 cells
205,205,205,SPP,ZBTB7A,ACSS2,liver,ZBTB7A IP - HepG2 cells
206,206,206,SPP,TCF7L2,ACSS2,mammarygland,TCF7L2 ChIP-Seq
207,207,207,SPP,GABPA,ACSS2,stemcells,GABPA IP - H1 cells
208,208,208,SPP,SP1,ACSS2,leukocytes,SP1 IP - GM12878 cells
209,209,209,SPP,SREBF2,ACSS2,liver,SREBF2 IP | PRAV - HepG2 cells
210,210,210,SPP,SMAD4,ACSS2,stemcells,SMAD4 ChIP-Seq - ESCs
211,211,211,SPP,EGR1,ACSS2,liver,EGR1 IP - MCF7 cells
212,212,212,SPP,ATRA,ACSS2,cns,YY1 IP | ATRA - SK-N-SH cells
213,213,213,SPP,TEAD4,ACSS2,leukocytes,TEAD4 IP - K562 cells
214,214,214,SPP,SMAD1,ACSS2,hspcs,SMAD1 IP - Rep 3
215,215,215,SPP,FOXA2,ACSS2,embryonictissue,FOXA2 IP - Rep 2
216,216,216,SPP,GTF2F1,ACSS2,uterus,GTF2F1 IP - HeLa cells
217,217,217,SPP,CTCF,ACSS2,adiposetissue,"CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d 0, CTCF ChIP-Seq - d 3"
218,218,218,SPP,EGR1,ACSS2,leukocytes,EGR1 IP - K562 cells
219,219,219,SPP,ELF1,ACSS2,liver,ELF1 IP - HepG2 cells
220,220,220,SPP,JUND,ACSS2,uterus,JUND IP - HeLa cells
221,221,221,SPP,TEAD4,ACSS2,uterus,TEAD4 IP - ECC1 cells
222,222,222,SPP,FOXA2,ACSS2,liver,FOXA2 IP - HepG2 cells
223,223,223,SPP,JUND,ACSS2,leukocytes,JUND IP - K562 cells
224,224,224,SPP,NFYC,ACSS2,colon,NFYC IP 
225,225,225,SPP,H9,ACSS2,leukocytes,"STAT5B IP | H9, Rep 2"
226,226,226,SPP,NFYB,ACSS2,uterus,NFYB IP - HeLa cells
227,227,227,SPP,JUN,ACSS2,uterus,JUN IP - HeLa cells
228,228,228,SPP,NFYA,ACSS2,uterus,NFYA IP - HeLa cells
229,229,229,SPP,STAT3,ACSS2,uterus,STAT3 IP - HeLa cells
230,230,230,SPP,IRF4,ACSS2,leukocytes,IRF4 IP
231,231,231,SPP,MAZ,ACSS2,liver,MAZ IP - HepG2 cells
232,232,232,SPP,EGR1,ACSS2,stemcells,EGR1 IP - H1 cells
233,233,233,SPP,TCF3,ACSS2,leukocytes,TCF3 IP - GM12878 cells
234,234,234,SPP,ELF1,ACSS2,colon,ELF1 IP - HCT116 cells
235,235,235,SPP,ARID3A,ACSS2,liver,ARID3A IP - HepG2 cells
236,236,236,SPP,ZNF263,ACSS2,kidney,ZNF263 IP - HEK293 cells
237,237,237,SPP,REST,ACSS2,stemcells,"REST IP - H1 cells, Rep 1"
238,238,238,SPP,CREB1,ACSS2,colon,CREB1 IP 
239,239,239,SPP,ATF2,ACSS2,colon,ATF2 IP 
240,240,240,SPP,E2F3,ACSS2,colon,E2F3 IP 
241,241,241,SPP,125DVD3,ACSS2,colon,CEBPB IP | 125DVD3
242,242,242,SPP,HMGN3,ACSS2,leukocytes,HMGN3 IP - K562 cells
243,243,243,SPP,22RHC; INS,ACSS2,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
244,244,244,SPP,YY1,ACSS2,uterus,YY1 IP - ECC1 cells
245,245,245,SPP,JUND,ACSS2,colon,JUND IP - HCT116 cells
246,246,246,SPP,PBX3,ACSS2,leukocytes,PBX3 IP - GM12878 cells
