Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
48,48,48,SPP,FOXA1,ACSL1,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D cells"
49,49,49,SPP,DEX,ACSL1,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, JUN IP | DEX, DEX | FOXA1 ChIP-Seq - Rep 2"
50,50,50,SPP,CEBPB,ACSL1,lung,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90, CEBPB IP - A549 cells"
51,51,51,SPP,TCF7L2,ACSL1,hspcs,"TCF7L2 IP - Rep 2, TCF7L2 IP - Rep 1"
52,52,52,SPP,R1881,ACSL1,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | GATA2 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2"
53,53,53,SPP,ERG,ACSL1,prostate,ERG ChIP-Seq
54,54,54,SPP,FOXA2,ACSL1,stemcells,"FOXA2 IP - ES D7, FOXA2 IP - Rep 1 , FOXA2 IP - ES D2, FOXA2 IP - ES D10, FOXA2 IP - ES D5, FOXA2 IP - Rep 5 "
55,55,55,SPP,CTCF,ACSL1,placenta,"CTCF IP - HVMF cells, Rep 1 "
56,56,56,SPP,FOXA2,ACSL1,liver,FOXA2 IP - HepG2 cells
57,57,57,SPP,STAT3,ACSL1,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP - MCF10A cells, Rep 2, STAT3 IP - MCF10A cells, Rep 1"
58,58,58,SPP,MAZ,ACSL1,lung,MAZ IP - IMR cells
59,59,59,SPP,GABPA,ACSL1,leukocytes,"GABPA IP - Jurkat, Rep 1, GABPA IP - HL cells"
60,60,60,SPP,MAX,ACSL1,leukocytes,"MAX IP - K562 cells, Rep 2, MAX IP - GM12878 cells, MAX IP - NB4 cells, MAX IP - K562 cells"
61,61,61,SPP,NFKB2,ACSL1,leukocytes,"NFKB2 IP - Rep 1, NFKB2 IP - Rep 2"
62,62,62,SPP,MAX,ACSL1,lung,MAX IP - A549 cells
63,63,63,SPP,MYC,ACSL1,leukocytes,"MYC IP - K562 cells, Rep 2, MYC IP - K562 cells, Rep 1, MYC IP - NB4 cells, MYC IP | IFNG - K562 cells, 30 min"
64,64,64,SPP,MAX,ACSL1,liver,"MAX IP - MCF7 cells, MAX IP - HepG2 cells, MAX IP - HepG2 cells"
65,65,65,SPP,CREB1,ACSL1,lung,CREB1 IP | DEX - A549 cells
66,66,66,SPP,DEX,ACSL1,lung,"CREB1 IP | DEX - A549 cells, FOXA1 IP | DEX - A549 cells, USF1 IP | DEX - A549 cells"
67,67,67,SPP,CEBPB,ACSL1,colon,"CEBPB IP | 125DVD3, CEBPB IP, CEBPB IP - HCT116 cells"
68,68,68,SPP,125DVD3,ACSL1,colon,CEBPB IP | 125DVD3
69,69,69,SPP,REST,ACSL1,liver,"REST IP - HepG2 cells, Rep 2, REST IP - HepG2 cells, Rep 1"
70,70,70,SPP,CTCF,ACSL1,liver,"CTCF IP, CTCF IP - SK-N-SH cells"
71,71,71,SPP,CEBPE,ACSL1,leukocytes,"CEBPE IP - HL-60 cells, Rep 3 "
72,72,72,SPP,FOXA1,ACSL1,lung,"FOXA1 IP - A549 cells, FOXA1 IP | DEX - A549 cells"
73,73,73,SPP,MAFK,ACSL1,leukocytes,MAFK IP - K562 cells
74,74,74,SPP,KLF5,ACSL1,pancreas,"KLF5 IP, FOXA1 IP | KLF5 KO, ELF3 IP | KLF5 KO"
75,75,75,SPP,JUN,ACSL1,mammarygland,"JUN IP | DEX, JUN IP - Rep 1, JUN IP, JUN IP - Rep 2, JUN IP | CPDA"
76,76,76,SPP,MAFK,ACSL1,uterus,MAFK IP - HeLa cells
