Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
136,136,136,SPP,HES6,ACLY,prostate,"HES6 OE | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
137,137,137,SPP,CTCF,ACLY,placenta,"CTCF IP - HVMF cells, Rep 1 "
138,138,138,SPP,ETS1,ACLY,lung,ETS1 IP - A549 cells
139,139,139,SPP,SP1,ACLY,colon,SP1 IP - HCT116 cells
140,140,140,SPP,GABPA,ACLY,cns,GABPA IP - SK-N-SH cells
141,141,141,SPP,JUN,ACLY,colon,JUN IP 
142,142,142,SPP,NFYB,ACLY,uterus,NFYB IP - HeLa cells
143,143,143,SPP,NFYB,ACLY,leukocytes,"NFYB IP - GM12878 cells, NFYB IP - K562 cells"
144,144,144,SPP,STAT1,ACLY,leukocytes,"STAT1 IP - Rep 5, STAT1 IP - Rep 2, STAT1 IP - Rep 4, STAT1 IP - Rep 3"
145,145,145,SPP,SIX5,ACLY,lung,SIX5 IP | DEX - A549 cells
146,146,146,SPP,MXI1,ACLY,uterus,MXI1 IP - HeLa cells
147,147,147,SPP,E2F3,ACLY,colon,E2F3 IP 
148,148,148,SPP,R1881,ACLY,prostate,"GATA2 KD + R1881 | FOXA1 ChIP-Seq, GABPA IP | R1881"
149,149,149,SPP,CREB1,ACLY,liver,"CREB1 IP, CREB1 IP - HepG2 cells, CREB1 IP"
150,150,150,SPP,TAL1,ACLY,colon,TAL1 IP 
151,151,151,SPP,USF1,ACLY,uterus,USF1 IP - ECC1 cells
152,152,152,SPP,MAZ,ACLY,lung,MAZ IP - IMR cells
153,153,153,SPP,IFNA1,ACLY,leukocytes,"IRF1 IP | IFNA1-13 - K562 cells, 6 h"
154,154,154,SPP,CTCF,ACLY,stemcells,"CTCF IP - H1 cells , CTCF IP - Rep 6 , CTCF IP - H1 cells"
155,155,155,SPP,TEAD4,ACLY,lung,TEAD4 IP - A549 cells
156,156,156,SPP,TP53,ACLY,lung,"TP53 IP - propapoptic, Rep 1"
157,157,157,SPP,FOXA1,ACLY,lung,"FOXA1 IP | DEX - A549 cells, FOXA1 IP - A549 cells"
158,158,158,SPP,GLI2,ACLY,colon,GLI2 IP 
159,159,159,SPP,GATA2,ACLY,hspcs,GATA2 IP
160,160,160,SPP,MXI1,ACLY,stemcells,MXI1 IP - H1 cells
161,161,161,SPP,MXI1,ACLY,lung,MXI1 IP - IMR cells
162,162,162,SPP,CEBPB,ACLY,uterus,"CEBPB ChIP-Seq - HeLaS3, CEBPB IP - ECC1 cells"
163,163,163,SPP,NFKB1,ACLY,leukocytes,NFKB1 IP - Rep 2
164,164,164,SPP,RELA,ACLY,colon,RELA IP 
165,165,165,SPP,TEAD4,ACLY,colon,TEAD4 IP - HCT116 cells
166,166,166,SPP,SP1,ACLY,stemcells,"SP1 IP - Rep 1 , SP1 IP - Rep 2 , SP1 IP - H1 cells"
167,167,167,SPP,USF1,ACLY,liver,USF1 IP - HepG2 cells
