Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
94,94,94,SPP,CTCF,SOAT1,mammarygland,"CTCF IP - HMEC cells , CTCF IP - HMEC cells, Rep 1 , CTCF IP - HMEC cells, Rep 2 "
95,95,95,SPP,CTCF,SOAT1,placenta,"CTCF IP - HVMF cells, Rep 1 , CTCF IP - HVMF cells, Rep 2 "
96,96,96,SPP,POU5F1,SOAT1,stemcells,"POU5F1 IP, POU5F1 IP, POU5F1 IP - Rep 1 "
97,97,97,SPP,CTCF,SOAT1,megakaryocytelineage,"CTCF IP - MEG-01 cells, Rep 8 , CTCF IP - MEG-01 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 4 , CTCF IP - MEG-01 cells, Rep 10 "
98,98,98,SPP,ELF1,SOAT1,colon,ELF1 IP - HCT116 cells
99,99,99,SPP,TP53,SOAT1,bone,TP53 IP | TP53EE/RR OE
100,100,100,SPP,STAT3,SOAT1,mammarygland,"STAT3 IP - MCF10A cells, Rep 2, STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 36 h"
101,101,101,SPP,MXI1,SOAT1,uterus,MXI1 IP - HeLa cells
102,102,102,SPP,MAX,SOAT1,uterus,"MAX IP - HeLa cells, Rep 1, MAX IP - ECC1 cells, MAX IP - HeLa cells, Rep 2"
103,103,103,SPP,SP1,SOAT1,colon,SP1 IP - HCT116 cells
104,104,104,SPP,PIAS1,SOAT1,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1"
105,105,105,SPP,FOS,SOAT1,mammarygland,"FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 12 h"
106,106,106,SPP,CEBPB,SOAT1,lung,"CEBPB IP - A549 cells, CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90"
107,107,107,SPP,REST,SOAT1,liver,"REST IP - HepG2 cells, Rep 1, REST IP - HepG2 cells, Rep 2"
108,108,108,SPP,FOXA1,SOAT1,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
109,109,109,SPP,ELF1,SOAT1,leukocytes,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
110,110,110,SPP,CTCF,SOAT1,uterus,"CTCF IP - HeLa cells , CTCF IP - HeLa cells, Rep 1 "
111,111,111,SPP,SP1,SOAT1,leukocytes,"SP1 IP - K562 cells, SP1 IP - GM12878 cells"
112,112,112,SPP,ZBTB7A,SOAT1,uterus,ZBTB7A IP - ECC1 cells
113,113,113,SPP,TBP,SOAT1,stemcells,TBP IP - H1 cells
114,114,114,SPP,JUND,SOAT1,colon,JUND IP - HCT116 cells
