TargetGene,TF,Library/PMID,Tissue,
LIPE,PPARG,16269451,"Liver, Skeletal muscle, adipose tissue",
LIPE,"NFKB1, RELA",17272828,Adipose tissue,https://pubmed.ncbi.nlm.nih.gov/17272828/
