TF,Overlapping_Genes,Pubmed_ID,Pubmed_Link,Genes mentioned in the paper,Tissue,Paper Link
ESR1,"CROT,ACOX3",21235772,https://pubmed.ncbi.nlm.nih.gov/21235772/,"CROT,ACOX3",Mammary Gland,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-12-36#Abs1
HNF4A,"PECR,PHYH,HSD17B4,ALDH3A2,AMACR,ACOX2,SCP2,HACL1,SLC27A2",19822575,https://pubmed.ncbi.nlm.nih.gov/19822575/,"PECR,PHYH,HSD17B4,ALDH3A2,AMACR,ACOX2,SCP2,HACL1,SLC27A2",Liver,https://academic.oup.com/nar/article/37/22/7498/2410146#supplementary-data
ESR2,"CROT,ACOX3",21235772,https://pubmed.ncbi.nlm.nih.gov/21235772/,"CROT,ACOX3",Mammary Gland,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-12-36#Abs1
ZNF263,HACL1,19887448,https://pubmed.ncbi.nlm.nih.gov/19887448/,HACL1,Erythroid lineage,https://www.sciencedirect.com/science/article/pii/S0021925820588935?via%3Dihub
MYC,"CROT,ACOX2,ACOX3,SLC27A2",19915707,https://pubmed.ncbi.nlm.nih.gov/19915707/,"CROT,ACOX2,ACOX3,SLC27A2",Stem cells,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0007839
NR1H3,"PECR,ACOX2",23393188,https://pubmed.ncbi.nlm.nih.gov/23393188/,"PECR,ACOX2",Leukocytes,https://academic.oup.com/nar/article/41/6/3518/2902510?login=true#83582439
SALL4,"HSD17B4,HACL1,CRAT",22934838,https://pubmed.ncbi.nlm.nih.gov/22934838/,"HSD17B4,HACL1,CRAT",Stem cells,https://onlinelibrary.wiley.com/doi/10.1111/j.1537-2995.2012.03888.x
CREB1,"CROT,ACOX3",15753290,https://pubmed.ncbi.nlm.nih.gov/15753290/,"CROT,ACOX3","Liver, Pancreas",https://www.pnas.org/doi/full/10.1073/pnas.0501076102
EOMES,"ALDH3A2,SLC27A2",21245162,https://pubmed.ncbi.nlm.nih.gov/21245162/,"ALDH3A2,SLC27A2",Stem cells,https://genesdev.cshlp.org/content/25/3/238.full
ELF1,"SCP2,CRAT",20517297,https://pubmed.ncbi.nlm.nih.gov/20517297/,not found,not found,https://www.embopress.org/doi/full/10.1038/emboj.2010.106
GATA3,"HSD17B4,ALDH3A2,CRAT",24758297,https://pubmed.ncbi.nlm.nih.gov/24758297/,"HSD17B4,ALDH3A2,CRAT",Mammary Gland,https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-14-278
GATA4,"HSD17B4,ALDH3A2,ACOX2",25053715,https://pubmed.ncbi.nlm.nih.gov/25053715/,not found,not found,paid https://gut.bmj.com/content/64/5/707
YY1,"SLC27A2,CRAT",22570637,https://pubmed.ncbi.nlm.nih.gov/22570637/,not found,not found,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002688#s4
AR,CROT,21909140,https://pubmed.ncbi.nlm.nih.gov/21909140/,CROT,Prostate,https://www.nature.com/articles/onc2011401
TFAP2C,"ACOX3,SLC27A2",20629094,https://pubmed.ncbi.nlm.nih.gov/20629094/,"ACOX3,SLC27A2",Mammary Gland,https://onlinelibrary.wiley.com/doi/10.1002/gcc.20807
CDX2,AMACR,20551321,https://pubmed.ncbi.nlm.nih.gov/20551321/,AMACR,"Colon,Duodenum,lleum,Jejunum",https://www.sciencedirect.com/science/article/pii/S0021925820598943?via%3Dihub
MITF,"PECR,PHYH,AMACR,ACOX2,ACOX3",21258399,https://pubmed.ncbi.nlm.nih.gov/21258399/,"PECR,PHYH,AMACR,ACOX2,ACOX3",Skin,https://www.nature.com/articles/onc2010612
