TF,Overlapping_Genes,Pubmed_ID,Pubmed_Link,Genes mentioned in the paper,Tissue,Paper Link
CDX2,MOGAT2,20551321,https://pubmed.ncbi.nlm.nih.gov/20551321/,MOGAT2,"Colon,Duodenum ,lleum, Jejunum,
Rectum",https://www.sciencedirect.com/science/article/pii/S0021925820598943?via%3Dihub
PPARD,AGPAT4,23208498,https://pubmed.ncbi.nlm.nih.gov/23208498/,AGPAT4,Mammary Gland,https://www.nature.com/articles/onc2012549
NFE2L2,LPIN1,22581777,https://pubmed.ncbi.nlm.nih.gov/22581777/,LPIN1,Leukocytes,https://academic.oup.com/nar/article/40/15/7416/1213698?login=true#supplementary-data
JUN,"GK2,AGPS",21703547,https://pubmed.ncbi.nlm.nih.gov/21703547/,not found,,paid https://www.sciencedirect.com/science/article/abs/pii/S1673852711000890?via%3Dihub
POU3F2,"AGPAT4,AGMO",20337985,https://pubmed.ncbi.nlm.nih.gov/20337985/,"AGPAT4,AGMO",Skin,https://onlinelibrary.wiley.com/doi/10.1111/j.1755-148X.2010.00697.x
DACH1,"DGAT2,DGAT1",20351289,https://pubmed.ncbi.nlm.nih.gov/20351289/,"DGAT2,DGAT1",Mammary Gland,https://www.pnas.org/doi/full/10.1073/pnas.1002746107
STAT1,MOGAT1,20625510,https://pubmed.ncbi.nlm.nih.gov/20625510/,not found,Leukocytes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0011425
RBPJ,"AGPAT5,LPIN1",21746931,https://pubmed.ncbi.nlm.nih.gov/21746931/,not found,Blood,https://www.pnas.org/doi/full/10.1073/pnas.1108892108
HOXB7,"MOGAT2,LPIN2",26014856,https://pubmed.ncbi.nlm.nih.gov/26014856/,not found,Mammary Gland,https://onlinelibrary.wiley.com/doi/10.1002/ijc.29616
JUND,"DGAT2,LPIN2",26020271,https://pubmed.ncbi.nlm.nih.gov/26020271/,not found,Vasculature,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005202#abstract0
ELK3,"AGPAT1,LPIN2",25401928,https://pubmed.ncbi.nlm.nih.gov/25401928/,not found,Vasculature,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0113050
ATF3,"AGPAT4,LPIN1",23680149,https://pubmed.ncbi.nlm.nih.gov/23680149/,"AGPAT4,LPIN1",CNS,https://www.sciencedirect.com/science/article/pii/S1535610813001335?via%3Dihub
EOMES,DGAT2,21245162,https://pubmed.ncbi.nlm.nih.gov/21245162/,DGAT2,embryonictissue,https://genesdev.cshlp.org/content/25/3/238/suppl/DC1
ARNT,LPIN1,22903824,https://pubmed.ncbi.nlm.nih.gov/22903824/,not found,Mammary Gland,paid https://academic.oup.com/toxsci/article-abstract/130/2/349/1725824?redirectedFrom=fulltext&login=true
ELF5,LPIN2,23300383,https://pubmed.ncbi.nlm.nih.gov/23300383/,LPIN2,Mammary Gland,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001461#s5
TP63,"AGPAT2,AGMO,AGPS",23658742,https://pubmed.ncbi.nlm.nih.gov/23658742/,AGPAT2,Prostate,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062547#s5
SMAD3,AGPAT3,21741376,https://pubmed.ncbi.nlm.nih.gov/21741376/,AGPAT3,Embryonic tissue,https://www.sciencedirect.com/science/article/pii/S0012160611010165?via%3Dihub#ec0005
ETS1,DGAT1,20019798,https://pubmed.ncbi.nlm.nih.gov/20019798/,DGAT1,Leukocytes,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000778
KLF5,AGPAT2,25053715,https://pubmed.ncbi.nlm.nih.gov/25053715/,not found,Stomach,paid https://gut.bmj.com/content/64/5/707
TFAP2A,DGAT2,17053090,https://pubmed.ncbi.nlm.nih.gov/17053090/,DGAT2,Mammary Gland,https://genome.cshlp.org/content/16/12/1585
BCL6,AGPAT3,25482012,https://pubmed.ncbi.nlm.nih.gov/25482012/,not found,,paid https://www.sciencedirect.com/science/article/abs/pii/S1874939914002958?via%3Dihub
TCF21,GPAM,26020271,https://pubmed.ncbi.nlm.nih.gov/26020271/,not found,Heart,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005202#abstract0
HOXC9,AGPAT4,25013753,https://pubmed.ncbi.nlm.nih.gov/25013753/,not found,SNS,https://www.sciencedirect.com/science/article/pii/S2213596014000142?via%3Dihub#s0010
PBX1,AGPAT1,22567123,https://pubmed.ncbi.nlm.nih.gov/22567123/,AGPAT1,Ovary,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0036054#s5
