TF,Overlapping_Genes,Pubmed_ID,Pubmed_Link,Genes mentioned in the paper,Tissue,Paper Link
BCL6,GDPD5,25482012,https://pubmed.ncbi.nlm.nih.gov/25482012/,not found,,paid https://www.sciencedirect.com/science/article/abs/pii/S1874939914002958?via%3Dihub
FOXA1,PNPLA7,25552417,https://pubmed.ncbi.nlm.nih.gov/25552417/,not found,Prostate,https://academic.oup.com/nar/article/43/2/848/2414789
GATA3,GDE1,24758297,https://pubmed.ncbi.nlm.nih.gov/24758297/,GDE1,Mammary Gland,https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-14-278
HOXC9,PNPLA6,25013753,https://pubmed.ncbi.nlm.nih.gov/25013753/,not found,CNS,https://www.sciencedirect.com/science/article/pii/S2213596014000142?via%3Dihub
GATA6,GDE1,25053715,https://pubmed.ncbi.nlm.nih.gov/25053715/,not found,,paid https://gut.bmj.com/content/64/5/707
ELK3,PNPLA6,25401928,https://pubmed.ncbi.nlm.nih.gov/25401928/,not found,Skin,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0113050#s5
GATA2,GDPD5,19941826,https://pubmed.ncbi.nlm.nih.gov/19941826/,GDPD5,Erythroid lineage,https://www.cell.com/molecular-cell/fulltext/S1097-2765(09)00814-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1097276509008144%3Fshowall%3Dtrue#app-2
SMAD4,PNPLA7,21799915,https://pubmed.ncbi.nlm.nih.gov/21799915/,PNPLA7,Ovary,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0022606#s5
FOXA2,PNPLA7,19822575,https://pubmed.ncbi.nlm.nih.gov/19822575/,PNPLA7,Liver,https://academic.oup.com/nar/article/37/22/7498/2410146?login=false
TP63,GDPD5,22573176,https://pubmed.ncbi.nlm.nih.gov/22573176/,GDPD5,Skin,https://academic.oup.com/nar/article/40/15/7190/1208916
MITF,GDPD5,21258399,https://pubmed.ncbi.nlm.nih.gov/21258399/,GDPD5,Skin,https://www.nature.com/articles/onc2010612
