classification,metabolites,Chebi,kegg,PubChem,Lipidmaps,Notation
lipid_species,3-hydroxy-hexadecanoyl-ACP,,http://www.genome.jp/dbget-bin/www_bget?C04633,,,C16:0(OH)-ACP
lipid_species,3-hydroxy-hexanoyl-ACP,,https://www.genome.jp/dbget-bin/www_bget?C05747,,,C6:0(OH)-ACP
lipid_species,3-Hydroxyhexanoyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:28276,,,,C6:0(3-OH)-CoA
lipid_species,3-hydroxy-octanoyl-ACP,,https://www.genome.jp/dbget-bin/www_bget?cpd:C04620,,,C8:0(OH)-ACP
lipid_species,3-Hydroxyoctanoyl-CoA,,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11966193,,C8:0(3-OH)-CoA
lipid_species,3-hydroxypristanoyl-CoA,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=63914,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=56927993,,3-hydroxypristanoyl-CoA
lipid_species,3-hydroxy-tetradecanoyl-ACP,,http://www.genome.jp/dbget-bin/www_bget?C04688,,,C14:0(OH)-ACP
lipid_species,3-Hydroxytetradecanoyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:85205,,,,C14:0(3-OH)-CoA
lipid_derivative,3-Ketosphinganine,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=17862,http://www.genome.jp/dbget-bin/www_bget?C02934,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=439853,,3-Ketosphinganine
lipid_species,3-Ketoxypristanoyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:57291,,,,3-Ketoxypristanoyl-CoA
lipid_species,3-Oxodecanoyl-ACP,https://www.ebi.ac.uk/chebi/CHEBI:1634,,,,C10:0(3-oxo)-ACP
lipid_species,3-Oxodecanoyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:28528,,,,C10:0(3-oxo)-CoA
