TF,TargetGene,Tissue,Chea,Signor,Trrust,Experiment,SPP_Pubmed,Pair,PS_frequency,Tissue_frequency,PS_Confidence,Tissue_Confidence
KLF11,TECR,adiposetissue,,,,"KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2",,KLF11 -> TECR,1,1,low,low
KLF5,TECR,pancreas,,,,"FOXA1 IP | KLF5 KO, KLF5 IP, ELF3 IP | KLF5 KO",,KLF5 -> TECR,2,2,low,low
KLF5,TECR,stomach,,,,KLF5 IP - KATOIII,25053715,KLF5 -> TECR,2,2,low,low
MAFF,TECR,liver,,,,MAFF IP - HepG2 cells,,MAFF -> TECR,1,1,low,low
MAFK,TECR,colon,,,,MAFK IP,,MAFK -> TECR,5,5,medium,medium
MAFK,TECR,leukocytes,,,,MAFK IP - K562 cells,,MAFK -> TECR,5,5,medium,medium
MAFK,TECR,liver,,,,"MAFK IP - HepG2 cells, Rep 1, MAFK IP - HepG2 cells, Rep 2",,MAFK -> TECR,5,5,medium,medium
MAFK,TECR,lung,,,,MAFK IP - IMR cells,,MAFK -> TECR,5,5,medium,medium
MAFK,TECR,uterus,,,,MAFK IP - HeLa cells,,MAFK -> TECR,5,5,medium,medium
MAX,TECR,cns,,,,MAX IP - SK-N-SH cells,,MAX -> TECR,7,7,high,medium
MAX,TECR,colon,,,,MAX IP - HCT116 cells,24076218,MAX -> TECR,7,7,high,medium
MAX,TECR,leukocytes,,,,"MAX IP - NB4 cells, MAX IP - K562 cells, Rep 2, MAX IP - GM12878 cells, MAX IP - K562 cells",,MAX -> TECR,7,7,high,medium
MAX,TECR,liver,,,,"MAX IP - HepG2 cells, MAX IP - MCF7 cells, MAX IP - HepG2 cells",,MAX -> TECR,7,7,high,medium
MAX,TECR,lung,,,,MAX IP - A549 cells,24076218,MAX -> TECR,7,7,high,medium
MAX,TECR,stemcells,,,,MAX IP - H1 cells,,MAX -> TECR,7,7,high,medium
MAX,TECR,uterus,,,,"MAX IP - HeLa cells, Rep 1, MAX IP - ECC1 cells",,MAX -> TECR,7,7,high,medium
MAZ,TECR,leukocytes,,,,"MAZ IP - K562 cells, MAZ IP - GM12878 cells",,MAZ -> TECR,4,4,medium,medium
MAZ,TECR,liver,,,,MAZ IP - HepG2 cells,,MAZ -> TECR,4,4,medium,medium
MAZ,TECR,lung,,,,MAZ IP - IMR cells,,MAZ -> TECR,4,4,medium,medium
MAZ,TECR,uterus,,,,MAZ IP - HeLa cells,,MAZ -> TECR,4,4,medium,medium
MEF2B,TECR,kidney,,,,"MEF2B IP | MEF2B D83V OE - Rep 1, MEF2B IP | MEF2B OE - Rep 1, MEF2B IP | MEF2B OE - Rep 2",,MEF2B -> TECR,1,1,low,low
MTA3,TECR,leukocytes,,,,MTA3 IP - GM12878 cells,,MTA3 -> TECR,1,1,low,low
MXI1,TECR,cns,,,,MXI1 IP - SK-N-SH cells,,MXI1 -> TECR,6,6,medium,medium
MXI1,TECR,leukocytes,,,,"MXI1 IP - GM12878 cells, MXI1 IP - K562 cells",,MXI1 -> TECR,6,6,medium,medium
MXI1,TECR,liver,,,,MXI1 IP - HepG2 cells,,MXI1 -> TECR,6,6,medium,medium
MXI1,TECR,lung,,,,MXI1 IP - IMR cells,,MXI1 -> TECR,6,6,medium,medium
MXI1,TECR,stemcells,,,,MXI1 IP - H1 cells,,MXI1 -> TECR,6,6,medium,medium
MXI1,TECR,uterus,,,,MXI1 IP - HeLa cells,,MXI1 -> TECR,6,6,medium,medium
