TargetGene,TF,Library/PMID,Tissue,Paper_link
PTGS2,PPARG,11412039,"colon, rectum",http://www.ncbi.nlm.nih.gov/pubmed/?term=11412039
PTGS2,PPARG,14555539,Uterus,http://www.ncbi.nlm.nih.gov/pubmed/?term=14555539
PTGS2,PPARG,16506021,colon,http://www.ncbi.nlm.nih.gov/pubmed/?term=16506021
PTGS2,RELA,10827178,"Leukocytes, Vasculature ",http://www.ncbi.nlm.nih.gov/pubmed/?term=10827178
PTGS2,RELA,12471036,skin,http://www.ncbi.nlm.nih.gov/pubmed/?term=12471036
PTGS2,RELA,15368354,Leukocytes,http://www.ncbi.nlm.nih.gov/pubmed/?term=15368354
PTGS2,RELA,15368354,Esophagus,http://www.ncbi.nlm.nih.gov/pubmed/?term=15387324
PTGS2,RELA,15547942,Leukocytes,http://www.ncbi.nlm.nih.gov/pubmed/?term=15547942
PTGS2,RELA,15555528,Sensory,http://www.ncbi.nlm.nih.gov/pubmed/?term=15555528
PTGS2,RELA,15997464,Leukocytes,http://www.ncbi.nlm.nih.gov/pubmed/?term=15997464
PTGS2,RELA,16624933,Leukocytes,http://www.ncbi.nlm.nih.gov/pubmed/?term=16624933
PTGS2,RELA,16820889,lung,http://www.ncbi.nlm.nih.gov/pubmed/?term=16820889
PTGS2,RELA,18057724,Leukocytes,http://www.ncbi.nlm.nih.gov/pubmed/?term=18057724
PTGS2,RELA,18294142,lung,http://www.ncbi.nlm.nih.gov/pubmed/?term=18294142
PTGS2,RELA,19618291,prostate,http://www.ncbi.nlm.nih.gov/pubmed/?term=19618291
PTGS2,RELA,12622742,lung,http://www.ncbi.nlm.nih.gov/pubmed/?term=12622742
PTGS2,RELA,15517885,"Liver, Kidney",http://www.ncbi.nlm.nih.gov/pubmed/?term=15517885
PTGS2,SETBP1,18419541,lung,http://www.ncbi.nlm.nih.gov/pubmed/?term=18419541
PTGS2,SP1,15767339,"colon, rectum",http://www.ncbi.nlm.nih.gov/pubmed/?term=15767339
PTGS2,STAT1,12586443,Heart,http://www.ncbi.nlm.nih.gov/pubmed/?term=12586443
PTGS2,STAT2,12586443,Heart,http://www.ncbi.nlm.nih.gov/pubmed/?term=12586443
PTGS2,STAT3,20145033,CNS,http://www.ncbi.nlm.nih.gov/pubmed/?term=20145033
PTGS2,STAT6,17237818,lung,http://www.ncbi.nlm.nih.gov/pubmed/?term=17237818
PTGS2,TCF7L2,11396184,"colon, rectum",http://www.ncbi.nlm.nih.gov/pubmed/?term=11396184
PTGS2,TFAP2A,16423197,lung,http://www.ncbi.nlm.nih.gov/pubmed/?term=16423197
PTGS2,USF1,18817855,CNS,http://www.ncbi.nlm.nih.gov/pubmed/?term=18817855
PTGS2,USF2,12057991,Uterus,http://www.ncbi.nlm.nih.gov/pubmed/?term=12057991
ALOX15,CREBBP,1251954,lung,http://www.ncbi.nlm.nih.gov/pubmed/?term=12517954
ALOX15,EP300,1251954,lung,http://www.ncbi.nlm.nih.gov/pubmed/?term=12517954
ALOX15,HDAC1,19198625,colon,http://www.ncbi.nlm.nih.gov/pubmed/?term=19198625
ALOX15,MTA1,19198625,colon,http://www.ncbi.nlm.nih.gov/pubmed/?term=19198625
ALOX15,SPI1,16320347,leukocytes,http://www.ncbi.nlm.nih.gov/pubmed/?term=16320347
ALOX15,STAT6,12517954,lung,http://www.ncbi.nlm.nih.gov/pubmed/?term=12517954
