TargetGene,TF,Library/PMID,Tissue,Paper Links
ACSL1,PPARA,17150915,Kidney,https://pubmed.ncbi.nlm.nih.gov/17150915/
ACOX1,PPARA,20110263,Liver,https://pubmed.ncbi.nlm.nih.gov/20110263/
